偎	亻田一󰀖
羙	丷王火󰁧
茫	艹氵亠󰄃
裼	衤󰁧日󰁤
柴	止匕木󰁧
么	丿厶󰁧
晏	日宀女󰀘
棼	木木八刀
升	丿廾󰀵
枘	木冂人󰁶
卫	ㄗ一󰀌
镳	钅广󰁃灬
鞘	廿󰀜⺌月
这	文辶󰀦
列	一夕刂󰀢
戗	人⺋戈󰁶
馐	⺈󰁐䒑二
傻	亻丿囗夂
悻	忄土䒑十
炻	火石󰀝
霏	󰀙丨三三
邻	人丶󰁻阝
消	氵⺌月󰀝
咳	口亠ㄥ人
劫	土厶力ノ
披	扌󰅌又󰁶
简	⺮门日󰀘
钳	钅艹二󰀝
芫	艹二儿󰀅
颤	亠囗口贝
姐	女󰀐一󰀝
槐	木白󰁜厶
觐	廿口主󰁜
僻	亻尸口辛
楼	木米女󰀝
凇	冫木八厶
桴	木爫子󰀝
蛏	虫又土󰀝
雏	⺈彐亻󰁷
饼	⺈󰁐䒑廾
緈	糹土䒑十
哳	口扌斤󰀢
桤	木山己󰁀
诀	讠ユ人󰁶
采	爫木󰁧
苫	艹󰀥口󰀘
砘	石一凵乚
伐	亻
娼	女日日󰀝
稼	禾宀一󰀓
领	人丶󰁻贝
梆	木三丿阝
椤	木罒夕󰁶
贴	贝󰀥口󰀝
吻	口勹󰁤ノ
夤	夕宀一八
颗	日木丆贝
碗	石宀夕⺋
梗	木一日乂
琳	王木木󰁶
佐	亻工󰀝
彐	彐󰁈一一
坏	土丆卜󰁶
杏	木口󰀘
逅	⺁一口辶
者	土丿日󰀘
怅	忄丿七󰂃
姬	女匚丨丨
给	纟人一口
扫	扌彐󰀝
借	亻󰁺日󰀝
呻	口日丨󰀢
肖	⺌月󰀘
齐	文󰀯󰀬
悖	忄十冖子
硗	石弋丿儿
葳	艹厂一丶
栏	木丷三󰀝
窀	宀八一乚
指	扌匕日󰀝
骀	󰀊󰀞厶口
茇	艹又丶
骼	󰀾月夂口
去	土厶󰁧
窬	宀八人刂
玻	王󰅌又󰁶
缙	纟一󰅊日
鼙	士口䒑十
莳	艹日寸󰁧
朗	丶彐厶月
蜗	虫口冂人
埏	土丿止廴
怎	𠂉丨二心
勇	󰁻用力
拇	扌母󰁶
苇	艹二𠃌丨
髀	󰀾月白十
驼	󰀊󰀞宀匕
浴	氵八人口
嵴	山󰀪人月
橼	木纟󰅂󰀓
蜘	虫𠂉大口
马	󰀊一󰀌
囗	囗丨󰁈一
盗	冫⺈人皿
妇	女彐󰀝
箭	⺮䒑月刂
锣	钅罒夕󰁶
咏	口丶𠃌󰀩
腆	月ㄇ󰁺八
唣	口白七󰁀
艴	弓󰀯⺈巴
钏	钅川󰀢
谈	讠火火󰁶
痘	疒一口䒑
嶙	山米夕丨
愫	忄主ㄠ小
茳	艹氵工󰀘
奇	大丁口󰀘
镣	钅大丷小
屈	尸凵山󰀵
芴	艹勹󰁤󰁣
驵	󰀊󰀞󰀐一
镗	钅⺌冖土
秤	禾一丷十
淙	氵宀二小
八	八丿󰂃
荳	艹一口䒑
徐	彳人一木
标	木二小󰁶
堇	廿口主󰀘
咣	口⺌一儿
甏	士口䒑丶
致	一厶土夂
守	宀寸󰁧
钣	钅⺁又󰁶
骤	󰀊󰀞耳乑
锏	钅门日󰀝
噘	口厂䒑人
悫	士冖几心
炫	火亠ㄠ󰁶
肫	月一凵乚
砗	石车󰀢
栗	覀木󰁧
辐	车一口田
逆	䒑凵丿辶
俐	亻禾刂󰀢
忐	上心󰁧
瓣	辛⺁厶辛
怆	忄人⺋󰁀
耆	土丿匕日
舴	丿󰁪𠂉二
铣	钅丿土儿
哏	口彐󰀖󰁶
郫	白丿十阝
诈	讠𠂉丨二
惫	夂田心󰁧
嘘	口󰅋七一
胫	月ス工󰀝
烫	氵ㄋ󰁤火
怖	忄冂丨
矗	十󰀣十󰀣
运	二厶辶󰀦
逖	犭ノ火辶
螵	虫覀二小
绶	纟爫冖又
缀	纟又又又
暇	日󰁃丨又
开	一廾󰀵
枵	木口一ㄅ
延	丿止廴󰀌
岭	山人丶󰁻
吣	口心󰁶
鲭	󰁢󰀞主月
葬	艹一夕廾
沭	氵木丶󰁶
喎	口ㄇ󰁈口
浏	氵文刂󰀢
怫	忄弓󰀯󰀢
笤	⺮刀口󰀘
岙	丿大山󰀬
缶	󰅎山󰀵
彀	士冖一又
伶	亻人丶󰁻
杵	木𠂉十󰀢
咬	口亠八乂
晗	日人丶口
董	艹丿一土
撬	扌丿二乚
噗	口󰅊一人
鳙	󰁢󰀞广丨
糙	米丿土辶
恫	忄冂一口
峙	山土寸󰁶
轶	车󰅎人󰁶
眵	目夕夕󰁶
朵	几木󰁧
佶	亻士口󰀝
召	刀口󰀘
备	夂田󰀘
庐	广丶尸󰀏
惆	忄󰀼土口
阎	门⺈臼󰀌
複	衤󰁧𠂉夂
洙	氵󰅎󰅇󰁶
跏	口止力口
嘎	口丆目戈
明	日月󰀝
躐	口止巛󰁒
厣	厂犬甲󰀵
锗	钅土丿日
室	宀一厶土
辶	辶丶󰁈󰂃
囵	囗人匕󰁫
澶	氵亠囗一
听	口斤󰀢
搬	扌丿󰁪又
琬	王宀夕⺋
语	讠五口󰀝
愆	彳氵一心
脆	月⺈厂⺋
踏	口止水日
此	止匕󰁀
锘	钅艹口
帏	冂丨二丨
绐	纟厶口󰀝
揣	扌山丆〢
口	口口口口
孤	孑⺁厶󰂃
枇	木󰁴匕󰁀
一	一一〇〇
敬	艹勹口夂
啬	十䒑囗口
娈	亠󰁗女󰀘
菘	艹木八厶
变	亠󰁗又󰁧
末	一木󰀦
玖	王ク󰂃󰁶
字	宀子󰀘
掖	扌亠亻丶
攻	工夂󰁶
挣	扌⺈󰁬亅
尴	乚〢皿
犏	ノ扌丶艹
谴	讠口丨辶
芏	艹土󰀘
睇	目丷弓丿
疬	疒厂力󰀏
均	土勹冫󰀝
蝇	虫口日乚
诙	讠火󰁶
睫	目一󰁬󰁾
掘	扌尸凵山
厘	厂日土󰀌
算	⺮目廾󰀬
卖	十乛󰁦大
捣	扌勹丶山
卣	󰀥囗󰁃󰀘
荣	艹冖木󰁧
詈	罒言󰀘
蕻	艹󰂞󰁺八
龀	止人凵ヒ
匏	大二ㄅ巳
往	彳丶王󰀝
粤	丿囗米ㄅ
谙	讠立日󰀝
鲤	󰁢󰀞日土
员	口贝󰁧
蓬	艹夂三辶
阗	门十󰀣八
咻	口亻木󰁶
馈	⺈󰁐口贝
鲴	󰁢󰀞囗古
榈	木门口口
劣	小丿力󰁣
翀	羽口丨󰀢
激	氵白方夂
萘	艹大二小
峭	山⺌月󰀝
甬	󰁻用󰀬
汤	氵ㄋ󰁤ノ
锬	钅火火󰁶
苣	艹匚󰁃󰀘
拣	扌󰀂𠃌八
籴	丿󰂃米󰁧
汴	氵亠卜󰁶
览	〢𠂉丶󰁜
纭	纟二厶󰁶
噬	口⺮工人
亭	󰁸冖丁󰀬
酴	西一人木
陬	阝耳又󰁶
虬	虫乚󰁀
拘	扌勹口󰀝
瘫	疒又亻󰁷
掏	扌勹󰅎山
勘	艹三八力
贤	〢又贝󰁧
咖	口力口󰀝
舣	丿󰁪丶乂
汗	氵干󰀢
鎏	氵亠厶金
钇	钅乙󰁀
蒇	艹厂贝丶
璇	王方𠂉󰁾
撇	扌丷冂夂
麽	广木木厶
醴	西一ㄇ䒑
蚬	虫ㄇ󰁜󰁀
鹭	口止夂一
癫	疒十󰀣贝
折	扌斤󰀢
噫	口立日心
浈	氵󰀥贝󰁶
虫	虫丨󰁈丶
岗	山冂乂󰁧
扣	扌口󰀝
荏	艹亻丿士
粗	米󰀐一󰀝
赀	止匕贝󰁧
摇	扌爫󰅎山
庀	广匕󰁫
眇	目小丿ノ
鸭	甲勹丶一
中	口丨󰀵
蜇	扌斤虫󰁧
渭	氵田月󰀝
郴	木木阝󰀢
胴	月冂一口
岈	山󰀂亅丿
涤	氵夂木󰁶
笙	⺮丿主󰀘
化	亻ヒ󰁀
挖	扌宀八乙
猖	犭ノ日日
鲈	󰁢󰀞󰀥尸
萏	艹⺈臼󰀘
琏	王车辶󰁶
醣	西一广口
鼽	丿目田九
膣	月宀八土
什	亻十󰀢
纽	纟󰁈丨二
溽	氵厂二寸
噼	口尸口辛
蛇	虫宀匕󰁀
雇	丶尸亻󰁷
嘬	口日耳又
嗫	口耳又又
描	扌艹田󰀝
痫	疒门木󰀦
歙	人一口人
闫	门三󰀌
赤	土󰁖󰁧
拖	扌𠂉也󰁀
嬗	女亠囗一
糈	米乛󰁾月
菏	艹氵丁口
隼	亻󰁷十󰀬
甫	一用丶
蔫	艹一止灬
浇	氵弋丿儿
疆	弓土一一
两	一冂人人
酢	西一𠂉二
忾	忄󰅎⺄󰁀
鬻	弓米弓丨
捺	扌大二小
喆	士口士口
瞽	士口䒑目
圳	土川󰀢
区	匚乂󰀦
祗	礻󰁶󰁚丶
碎	石亠人十
胍	月⺁厶󰂃
鹤	冖亻󰁷一
膘	月覀二小
熘	火󰁚丶田
淤	氵方人󰁦
肢	月十又󰁶
髻	󰂞彡士口
转	车二󰁓丶
绳	纟口日乚
睽	目癶一大
卺	了󰀩一⺋
馗	九䒑丿目
硎	石一廾刂
愍	󰁃󰁐弋心
脍	月人二厶
香	禾日󰀘
咫	尸󰂃口八
托	扌丿七󰁀
纤	纟丿十󰀢
郢	口王阝󰀢
寇	宀二儿又
鹾	󰀥囗乂工
篇	⺮丶尸艹
萆	艹白丿十
湾	氵亠󰁗弓
狺	犭ノ言󰀝
纳	纟冂人󰁶
蛲	虫弋丿儿
乾	十早𠂉乙
曲	ㄇ󰁺󰀌
佬	亻土丿匕
吖	口丷丨󰀢
毗	田󰁴匕󰁀
诗	讠土寸󰁶
椎	木亻󰁷󰀝
棣	木󰁬氺󰁶
聍	耳宀丁󰀢
遍	丶尸冂辶
橙	木癶一䒑
刘	文刂󰀢
揆	扌癶一大
谇	讠亠人十
簇	⺮方𠂉大
国	囗王丶󰀦
鹳	艹口口一
纾	纟󰁻乛亅
嘲	口十日月
侬	亻冖󰀔󰁶
取	耳又󰁶
揖	扌口耳󰀝
鏖	广󰁃〢金
勺	勹丶󰀦
悍	忄日干󰀢
傍	亻亠丷方
惢	心心心󰁧
碣	石日勹󰄃
风	几乂󰀦
裎	衤󰁧口王
伤	亻𠂉力ノ
墙	土十䒑口
灼	火勹丶󰁶
奏	三人一大
憎	忄丷󰀺日
漤	氵木木女
虺	一儿虫󰀦
鸳	夕⺋勹一
乳	爫孑乚󰁀
抖	扌󰁦十󰀢
穗	禾一日心
档	木⺌彐󰀝
顽	二儿丆贝
酎	西一寸󰁶
炼	火󰀂𠃌八
衽	衤󰁧丿士
跻	口止文󰀯
裙	衤󰁧󰁬口
磙	石六厶󰀔
煎	䒑月刂灬
跳	口止儿󰀪
疲	疒󰅌又󰀦
淳	氵󰁸子󰀝
骇	󰀊󰀞亠人
窗	宀八丿夕
智	𠂉大口日
剖	立口刂󰀢
主	丶王󰀌
恢	忄火󰁶
砣	石宀匕󰁀
糇	米亻ユ大
垣	土一日一
鳇	󰁢󰀞白王
玫	王夂󰁶
褙	衤󰁧丬月
戎	戈󰀏
足	口󰁾󰁧
闲	门木󰀦
佾	亻八月󰀝
罾	罒丷󰀺日
栽	十戈木󰀦
轾	车一厶土
巳	巳󰁈一乚
焖	火门心󰁶
脖	月十冖子
添	氵一大⺗
喺	口亻丿小
洇	氵囗大󰁶
铆	钅󰁚丿卩
蔺	艹门亻󰁷
焘	三丿寸灬
燎	火大丷小
脘	月宀二儿
甲	甲丨󰁈丨
锲	钅三丨大
赳	土󰁾󰁐丨
柽	木又土󰀝
矽	石夕󰁶
达	大辶󰀦
逼	一口田辶
嗲	口八乂夕
胖	月䒑十󰀢
旺	日王󰀝
鞣	廿󰀜󰁻木
僖	亻士口口
圣	又土󰀘
兼	䒑󰁬󰁗󰁧
蜣	虫䒑󰀠乚
罗	罒夕󰁧
筇	⺮工阝󰀬
笫	⺮丿ㄅ丿
荪	艹孑小󰁧
敲	󰁸冂口又
畲	人二小田
蕲	艹丷曰斤
魇	厂犬白厶
煺	火彐󰀖辶
乏	丿之󰁧
嚎	口󰁸冖󰀓
皎	白亠八乂
腺	月白水󰁶
鹏	月月勹一
柙	木甲󰀢
埙	土口贝󰁶
楽	白󰀪木󰁧
蝣	虫方𠂉子
督	上小又目
辗	车尸󰁺󰀖
钲	钅一止󰀝
宇	宀一󰀛󰀬
得	彳日一寸
侗	亻冂一口
荆	艹一廾刂
傺	亻󰁯二小
噎	口士冖䒑
亏	二ㄅ󰁫
邺	󰅊一阝󰀢
肺	月一冂丨
躏	口止艹󰁷
胼	月䒑廾󰀢
嚣	口口丆口
分	八刀󰁣
戆	立早夂心
鲳	󰁢󰀞日日
聘	耳由一ㄅ
椽	木彑󰀓󰁶
爆	火日󰁺氺
觇	󰀥口ㄇ󰁜
惺	忄日丿主
胺	月宀女󰀝
黏	禾人氺口
滏	氵八乂䒑
经	纟ス工󰀝
泳	氵丶𠃌󰀩
咲	口䒑大󰁶
栅	木󰀼󰀼一
倘	亻⺌冂口
蛙	虫土土󰀝
豳	山一󰀓󰀓
米	米丶丿󰂃
訇	勹言󰀌
类	米大󰁧
携	扌亻󰁷乃
式	弋工
伏	亻犬󰁶
雎	󰀐󰀞亻󰁷
蛎	虫厂一󰁡
盎	ㄇ大皿󰀘
漏	氵尸雨󰁶
哲	扌斤口󰀘
俚	亻日土󰀝
稗	禾白丿十
檫	木宀󰁯小
託	言丿七󰁀
袖	衤󰁧由󰀝
颖	匕禾丆贝
訫	言心󰁶
隙	阝小日小
谳	讠十冂犬
葺	艹口耳󰀘
尻	尸九󰁫
摺	扌羽白󰀝
瞎	目宀三口
吲	口弓丨󰀢
穫	禾艹亻又
曙	日罒土日
扼	扌厂⺋󰁀
会	人二厶󰁧
醪	西一羽彡
蝙	虫丶尸艹
硖	石一丷大
诳	讠犭ノ王
癣	疒󰁢󰀞羊
掺	扌厶大彡
寻	彐寸󰁧
读	讠十乛大
玺	⺈小王丶
耍	丆冂〢女
呲	口止匕󰁀
逍	⺌月辶󰀌
扪	扌门󰁀
罚	罒讠刂󰀬
怍	忄𠂉丨二
坎	土⺈人󰁶
自	丿目󰀌
讳	讠二𠃌丨
樽	木丷西寸
匆	勹󰁤丶󰀦
绗	纟彳一丁
茆	艹󰁚丿卩
疣	疒乚丶
仗	亻󰂃󰁶
珺	王󰁬丿口
玲	王人丶󰁻
亚	一󰅊一󰀌
秫	禾木丶󰁶
俏	亻⺌月󰀝
鼗	儿󰀪士又
槽	木一ㄇ日
秽	禾山夕󰁶
弗	弓󰀯󰀵
缗	纟󰁃󰁐日
茺	艹亠厶儿
众	人人人󰁧
痣	疒士心󰀦
嗣	口冂艹口
揲	扌廿󰄃木
珲	王冖车󰀢
滚	氵六厶󰀔
眙	目厶口󰀝
娴	女门木󰁶
咎	夂卜口󰀘
汏	氵大󰁶
璎	王贝贝女
蒎	艹氵⺁󰀕
钎	钅丿十󰀢
鹚	䒑ㄠㄠ一
疙	疒𠂉乙󰁫
褫	衤󰁧⺁几
喙	口彑󰀓󰁶
料	米󰁦十󰀢
鬼	白󰁜厶󰀦
责	主贝󰁧
镢	钅厂䒑人
覆	覀彳𠂉夂
郅	一厶土阝
情	忄主月󰀝
敢	󰁈耳夂󰁶
跎	口止宀匕
孳	䒑ㄠㄠ子
挲	氵小丿手
敖	主󰁡夂󰁶
啖	口火火󰁶
呎	口尸󰂃󰁶
沏	氵七刀ノ
邪	󰀂亅丿阝
士	士一丨一
蕖	艹氵匚木
泣	氵立󰀝
镍	钅丿目木
渎	氵十乛大
与	一ㄅ一󰀌
笳	⺮力口󰀘
箬	⺮艹口
砖	石二󰁓丶
蠖	虫艹亻又
阙	门䒑凵人
锎	钅门一廾
昙	日二厶󰁧
瘙	疒又丶虫
跚	口止󰀼一
讼	讠八厶󰁶
瓢	覀二小󰂃
过	寸辶󰀦
阍	门󰁚弋日
鲣	󰁢󰀞〢土
济	氵文󰀯󰀢
赎	贝十乛大
譬	尸口立言
狳	犭ノ人木
婴	贝贝女󰀘
孬	丆卜女子
穴	宀八󰁧
擎	艹勹口手
驴	󰀊󰀞丶尸
铙	钅弋丿儿
衫	衤󰁧彡ノ
硫	石亠厶󰀸
怪	忄又土󰀝
屣	尸彳止󰁾
傅	亻一月寸
蟆	虫艹日大
炅	日火󰁧
嗍	口䒑凵月
涎	氵丿止廴
痍	疒一弓人
刳	大二ㄅ刂
戳	羽亻󰁷戈
谬	讠羽人彡
暖	日爫一又
皖	白宀二儿
聪	耳丷口心
钙	钅一󰀥ㄅ
绵	纟白冂丨
蜴	虫日勹󰁤
刻	亠ㄥ丿刂
朴	木卜󰁶
仵	亻𠂉十󰀢
呢	口尸匕󰁀
哙	口人二厶
鹇	门木勹一
皆	󰁴匕白󰀘
蹇	宀󰀀八󰁾
嚆	口艹󰁸口
乇	丿七󰁫
扳	扌⺁又󰁶
诬	讠工人人
癖	疒尸口辛
晖	日冖车󰀢
店	广󰀥口󰀌
矫	𠂉大丿󰀯
教	土丿孑夂
韫	二𠃌丨皿
缵	纟丿土贝
诣	讠匕日󰀝
围	囗二𠃌丨
探	扌冖八木
厢	厂木目󰀌
篼	⺮白󰁚儿
诼	讠一󰀓丶
咙	口ヒ丶
麇	广󰁃〢禾
躇	口止艹日
庇	广󰁴匕󰁫
导	巳寸󰁧
决	冫ユ人󰁶
泗	氵四󰀝
膳	月丷󰅆口
熳	火曰罒又
枫	木几乂󰁶
轵	车口八󰁶
螫	土󰁖夂虫
错	钅󰁺日󰀝
糗	米丿目犬
讣	讠卜󰁶
锖	钅主月󰀝
潵	氵󰁺月攵
沼	氵刀口󰀝
充	亠厶儿󰀅
煅	火亻三又
岚	山几乂󰁧
鲼	󰁢󰀞十贝
粼	米夕󰀂巜
凳	癶一口几
洗	氵丿土儿
至	一厶土󰀘
迤	𠂉也辶󰁫
猪	犭ノ土日
蝴	虫古月󰀝
靴	廿󰀜亻ヒ
侵	亻彐冖又
季	禾子󰀘
猢	犭ノ古月
内	冂人󰀦
醅	西一立口
裆	衤󰁧⺌彐
鱼	󰁢一󰀘
籼	米山󰀢
芎	艹弓󰀅
銎	工几丶金
贬	贝丿之󰁶
鬣	󰂞彡巛󰁒
卢	󰀥尸󰁣
欣	斤⺈人󰁶
缫	纟巛日木
洼	氵土土󰀝
坪	土一丷十
杪	木小丿ノ
伫	亻宀一󰀝
潇	氵艹󰁬󰀯
厕	厂贝刂󰀵
竖	〢又立󰀘
町	田丁󰀢
贼	贝戈ノ
钺	钅一󰁐丶
蒺	艹疒𠂉大
关	䒑大󰁧
煳	火古月󰀝
竣	立厶八夂
抢	扌人⺋󰁀
葙	艹木目󰀘
绫	纟土八夂
泼	氵ㄥ丿丶
仫	亻丿厶󰁶
殚	一夕丷十
呙	口冂人󰁧
单	丷曰十󰀬
杆	木干󰀢
徇	彳勹日󰀝
活	氵丿古󰀝
龇	止人凵匕
辇	二人二车
茎	艹ス工󰀘
鲻	󰁢󰀞巛田
挎	扌大二ㄅ
猎	犭ノ󰁺日
跗	口止亻寸
阖	门土厶皿
炳	火一冂人
纫	纟刀丶󰁶
身	丿󰀽三丿
雪	󰀙彐󰀘
嫣	女一止灬
享	󰁸子󰀘
吕	口口󰀘
趼	口止一廾
峻	山厶八夂
系	丿ㄠ小󰁧
泻	氵冖一一
鬏	󰂞彡禾火
苎	艹宀一󰀘
笏	⺮勹󰁤󰁣
拎	扌人丶󰁻
嗖	口臼丨又
痖	疒一󰅊一
渗	氵厶大彡
戢	口耳󰅅丶
胳	月夂口󰀝
舢	丿󰁪山󰀢
想	木目心󰁧
僳	亻覀米󰁶
狙	犭ノ󰀐一
拙	扌凵山󰀢
浼	氵⺈口󰁜
鹫	󰁸小一
岖	山匚乂󰁶
万	一󰁡󰀏
哺	口一月丶
治	氵厶口󰀝
礴	石艹氵寸
耻	耳止󰀝
钆	钅乚󰁀
掎	扌大丁口
豇	一口䒑工
咆	口勹巳󰁀
黾	口日乚󰀅
耳	耳一丨一
鸬	󰀥尸勹一
廾	廾一丿丨
玎	王丁󰀢
莎	艹氵小丿
魏	禾女白厶
渫	氵廿󰄃木
筚	⺮󰁴匕十
丫	丷丨󰀵
噪	口口口木
帼	冂丨囗丶
芙	艹二人󰁧
陪	阝立口󰀝
饴	⺈󰁐厶口
裴	三〢三󰀔
磴	石癶一䒑
捎	扌⺌月󰀝
宏	宀厶󰁧
葆	艹亻口木
醢	西一皿
摆	扌罒土厶
秣	禾一木󰁶
跬	口止土土
虽	口虫󰁧
漾	氵丷王󰀩
淬	氵亠人十
媚	女󰁅目󰀝
淫	氵爫丿士
骚	󰀊󰀞又虫
薪	艹立木斤
淼	水水水󰁧
逻	罒夕辶󰀦
后	⺁一口󰀌
榴	木󰁚丶田
纬	纟二𠃌丨
京	󰁸小󰁧
躬	丿󰀽三弓
萎	艹禾女󰀘
嗪	口三人禾
涫	氵
痪	疒⺈ㄇ大
闪	门人󰀦
茕	艹冖⺄十
圆	囗口贝󰀦
滇	氵十󰀣八
织	纟口八󰁶
霆	󰀙丿士廴
揎	扌宀一一
小	小亅丿丶
饣	⺈󰁐󰀅
饫	⺈󰁐丿大
渚	氵土丿日
蹬	口止癶䒑
妣	女󰁴匕󰁀
苕	艹刀口󰀘
缇	纟日一󰁾
殖	一夕十󰀣
集	亻󰁷木󰁧
蛆	虫󰀐一󰀝
氲	󰅎⺄日皿
株	木󰅎󰅇󰁶
鳆	󰁢󰀞𠂉夂
醍	西一日󰁾
觎	人一月󰁜
槎	木䒑󰀠工
再	一冂土󰀌
镪	钅弓口虫
冕	曰⺈口󰁜
紫	止匕ㄠ小
贫	八刀贝󰁧
啪	口扌白󰀝
洫	氵丿皿󰀝
凹	丨󰁎󰀽一
吱	口十又󰁶
故	古夂󰁶
畅	日丨ㄋ󰁤
配	西一己󰁀
镅	钅󰁅目󰀝
税	禾丷口儿
免	⺈口󰁜󰀅
萱	艹宀一一
腕	月宀夕⺋
亻	亻丿丨
固	囗古󰀌
溻	氵日羽󰀝
钪	钅亠几󰁀
外	夕卜󰁶
慕	艹日大⺗
泫	氵亠ㄠ󰁶
咪	口米󰁶
覚	󰀧冖目儿
禚	礻󰁶丷灬
沲	氵𠂉也󰁀
酩	西一夕口
腩	月十冂十
穆	禾白小彡
戍	厂丶󰅅丶
鲲	󰁢󰀞日匕
舍	人干口󰀘
粲	󰀥夕又米
戕	󰄃丨丆戈
任	亻丿士󰀝
铪	钅人一口
黻	󰅊一丷丶
蚺	虫冂土󰀝
则	贝刂󰀢
沫	氵一木󰁶
觚	⺈用⺁󰂃
疱	疒勹巳󰁫
饪	⺈󰁐丿士
骆	󰀊󰀞夂口
肩	丶尸月󰀌
窆	宀八丿之
重	丿一日土
喱	口厂日土
窖	宀八丿口
鼻	丿目田󰀯
骖	󰀊󰀞厶彡
多	夕夕󰁧
婆	氵󰅌又女
胙	月𠂉丨二
烙	火夂口󰀝
搪	扌广󰁬口
痱	疒丨三三
洲	氵丶丿丨
闱	门二𠃌丨
贲	十艹贝󰁧
褪	衤󰁧彐辶
烩	火人二厶
惩	彳一止心
太	大丶󰀦
钅	钅丿一󰁐
撅	扌厂䒑人
密	宀心丿山
识	讠口八󰁶
篆	⺮彑󰀓󰁧
碍	石日一寸
佻	亻儿󰀪󰁶
偌	亻艹口
轻	车ス工󰀝
颍	匕水丆贝
袍	衤󰁧勹巳
奚	爫ㄠ大󰁧
咕	口古󰀝
谫	讠䒑月刀
邙	亠󰄃阝󰀢
楚	木木乛󰁾
炙	󰁝火󰁧
锱	钅巛田󰀝
由	由丨󰁈一
将	丬夕寸󰁶
唱	口日日󰀝
谆	讠󰁸子󰀝
悌	忄丷弓丿
瀹	氵人一艹
塍	月䒑大土
肌	月几󰁀
瞢	艹罒冖目
墚	土氵刀木
瘩	疒艹人口
蘩	艹𠂉母小
簖	⺮米󰄃斤
颚	口口二贝
腙	月宀二小
镱	钅立日心
液	氵亠亻丶
锅	钅口冂人
赆	贝尸󰂃󰁦
浆	丬夕水󰁧
啱	口山石󰀝
复	𠂉日夂󰁧
忻	忄斤󰀢
螺	虫田ㄠ小
祖	礻󰁶󰀐一
愕	忄口口ㄅ
背	丬匕月󰀘
噩	王口口口
辣	立一󰅇
宫	宀口口󰀘
揪	扌禾火󰁶
