偎	亻田一フノㄟ
髀	骨ノ丨フ一一ノ十
驼	马宀匕
浴	氵八人口
叻	口力
赴	土丨一人卜
朘	156
蜘	虫矢口
马	フフ一
盗	冫人皿
兆	儿冫ノ丶
帐	巾长
丐	一丨一フ
咏	口永
腆	月丨フ一丨丨一八
唣	口白七
艴	弗巴
钏	钅川
谈	讠火火
痘	疒一口丷一
嶙	山米夕一フ丨
疗	疒了
茳	艹氵工
奇	大丁口
掬	扌勹米
屈	尸出
芴	艹勿
驵	马且
即	即左卩
秤	禾平
淙	氵宀二小
八	ノㄟ
徐	彳人余下
标	木二小
堇	廿丨フ一一一丨一
咣	口兀
甏	士口丷一ノノノ瓦
致	一厶土攵
唏	口乂巾
钣	钅ノノ又
骤	马耳又亻ノノノㄟ
锏	钅门日
帙	巾失
悫	士冖几心
炫	火亠幺
肫	月屯
砗	石车
栗	西木
丙	一内
逆	辶丷一フ丨ノ
俐	亻禾刂
忐	上心
瓣	立瓜立十
怆	忄人フフ
耆	耂匕日
舴	舟乍
铣	钅儿
哏	口艮
郫	ノ丨フ一一ノ十阝
诈	讠乍
惫	夂田心
嘘	口虍业
胫	月フ丶工
烫	氵フノノ火
怖	忄巾
矗	十具上十具上十具上
乙	フ
逖	辶犭火
螵	虫西二小
绶	纟ノ⺍冖又
皇	白王
件	亻牛
开	一廾
枵	木口一フ
延	廴亻一フ
岭	山人丶
吣	口心
鲭	鱼月
葬	艹歹匕廾
沭	氵术
浏	氵文刂
欤	与人
笤	刀口
岙	夭山
缶	午凵
彀	士冖一弓几又
伶	亻人丶
杵	木午
咬	口亠八乂
浐	氵产
钬	钅火
汭	氵内
噗	口业ㄟ
钘	钅开
火	丶ノ人
恫	忄冂一口
峙	山土寸
轶	车失
眵	目夕夕
朵	几木
佶	亻士口
召	刀口
备	夂田
庐	广户
惆	忄冂土口
阎	门臼
胆	月日一
洙	氵朱
跏	力口
认	讠人
明	日月
蔗	艹广廿灬
厣	厂犬甲
掣	ノ一一丨フ丨刂手
室	宀一厶土
囵	囗人匕
澶	氵亠囗口日一
听	口斤
搬	扌舟几又
哗	口亻匕十
语	讠五口
愆	彳氵亍心
脆	月厂フフ
甘	廿一
浙	氵扌斤
旎	方ノ一尸匕
帏	巾韦
珣	王勹日
铗	钅夹
口	丨フ一
孤	子瓜
枇	木比左匕
一	一
敬	艹勹口攵
啬	十丷一囗口
娈	亠丨丨ノ丶女
菘	艹木八厶
变	亠丨丨ノ丶又
氤	气囗大
玖	王久
字	宀子
掖	扌亠亻ノフ丶ㄟ
匣	匚甲
挣	扌フ一一丨
尴	尢丨丨ノ一丶皿
犏	牛户冂艹
蔻	艹宀二儿丨一又
芏	艹土
睇	目丷フ一フ丨ノ
疬	疒厂力
均	土勹冫
蝇	虫口电
鹀	工人人鸟
诙	讠火
睫	目一フ一一丨一人
掘	扌尸出
厘	厂里
算	目廾
宗	宀二小
捣	扌ノフ丶フ山
卣	丨一囗フ一
荣	艹冖木
詈	罒亠一一口
说	讠丷口儿
辀	车舟
龀	止人凵匕
匏	大亏勹巳
往	彳主
粤	ノ囗米一フ
谙	讠立日
崭	山车斤
员	口冂人
氙	气山
阗	门十具上八
咻	口亻木
馈	饣中一冂人
钻	钅丨一口
榈	木门口口
劣	少力
症	疒正
激	氵白方攵
萘	艹大二小
峭	山月
甬	用
汤	氵フノノ
屙	尸阝丁口
苣	艹巨
拣	扌一フフノ丶
籴	入米
汴	氵卞
苏	艹办
纭	纟二厶
庭	广壬廴
亭	亠口冖丁
酴	酉人余下
陬	阝耳又
虬	虫フ
拘	扌勹口
兴	⺍一八
掏	扌勹缶
勘	其上八フ力
苘	艹冂口
骙	马フ丶ノノㄟ天
咖	口力口
舣	舟义
汗	氵干
鎏	氵亠厶ノ丨フ金
钇	钅フ
蒇	艹戊冂人
璇	王方ノ一フ丨一人
撇	扌丶ノ丨フ丨ノ丶攵
麽	广木木么
饵	饣耳
蚬	虫冂见下
鹭	夂口鸟
站	立丨一口
折	扌斤
峤	山夭ノ丨
浈	氵丨一冂人
鳤	鱼宀㠯
虫	中一丶
呖	口厂力
扣	扌口
荏	艹亻壬
粗	米且
摇	扌ノ⺍缶
庀	156
蹽	大丶ノ日小
幽	山幺幺
鸭	甲鸟
中	丨フ一丨
蜇	扌斤虫
旬	勹日
席	广廿巾
沈	氵丶フノフ
岈	山牙
涤	氵夂朩
疫	疒几又
化	亻匕
挖	扌宀八フ
猖	犭日日
鲈	鱼丨一尸
萏	艹臼
琏	王车辶
虼	虫乞
纽	纟丑
溽	氵厂二フノㄟ寸
绀	纟甘
蛇	虫宀匕
雇	户亻亠
嘬	口日耳又
孙	子小
描	扌艹田
痫	疒门木
棵	木果
赤	土ノ丨ノ丶
拖	扌ノ一也
勖	冂一一目力
鳈	鱼白水
珏	王玉
菏	艹氵丁口
隼	亻亠十
甫	一丨フ一一丨丶
蔫	艹正一フ灬
浇	氵一フノ兀
渤	氵十冖子力
两	一丨フノ丶ノ丶
酢	酉乍
忾	忄气
俾	亻ノ丨フ一一ノ十
捺	扌大二小
嵇	禾尤山
瞽	士口丷一十又目
圳	土川
区	匚乂
祗	礻氐
碎	石亠人人十
套	大一丨一二厶
铫	钅儿冫ノ丶
跤	亠八乂
熘	火ノフ丶刀田
邢	开阝
肢	月十又
髻	一丨一二厶ノノノ士口
转	车专
皲	冖车フノ丨又
彬	木木ノノノ
卺	了フノㄟ一フフ
馗	九丷一自
硎	石开刂
桎	木一厶土
兖	亠八厶儿
鸤	尸鸟
庤	广土寸
托	扌ノ七
纤	纟千
郢	口王阝
吆	口幺
理	王里
交	亠八乂
朽	木一フ
狺	犭亠一一口
蹾	亠口子攵
盲	亡目
蛲	虫一フノ兀
乾	十日十乞
曲	丨フ一丨丨一
仳	亻比左匕
毗	田比左匕
诗	讠土寸
恍	忄兀
悢	忄良
聍	耳宀丁
遍	辶户冂艹
战	丨一口戈
刘	文刂
揆	扌フ丶ノノㄟ天
谇	讠亠人人十
簇	方ノ一矢
国	囗玉
防	阝方
纾	纟フ丨
平	一丶ノ十
亳	亠口冖ノ七
取	耳又
揖	扌口耳
鏖	广フ丨丨一比左匕金
勺	勹丶
悍	忄日干
傍	亻亠丷冖方
钫	钅方
碣	石日勹人フ
风	几乂
裎	衤口王
伤	亻ノ一力
含	人丶フ口
灼	火勺
奏	寿上ㄟ天
颙	禺一ノ冂人
惘	忄冂丷一亡
烘	火艹一八
陲	阝垂
乳	ノ⺍子フ
抖	扌丶丶十
幻	幺フ
档	木彐
顽	二儿一ノ冂人
酎	酉寸
炼	火一フフノ丶
衽	衤壬
跻	文ノ丨
肘	月寸
绤	纟八人口
煎	丷一月刂灬
跳	儿冫ノ丶
疲	疒フノ丨又
淳	氵亠口子
骇	马亠フノ人
帻	巾冂人
智	矢口日
剖	立口刂
主	丶王
恢	忄火
砣	石宀匕
糇	米亻フ一矢
垣	土一日一
枣	一丨フ丨ノㄟ丶丶
玫	王攵
闺	门土土
戎	戈
足	口丨一人
闲	门木
佾	亻八月
罾	罒丷囗日
栽	十戈木
唆	口厶八夂
巳	フ一フ
焖	火门心
脖	月十冖子
添	氵天
矣	厶矢
叫	口フ丨
佤	亻瓦
焘	寿上寸灬
燎	火大丶ノ日小
鄘	广フ一一丨フ一一丨阝
脘	月宀二儿
甲	丨フ一一丨
锲	钅丰刀大
值	亻十具上
怼	又寸心
矽	156
哆	口夕夕
逼	辶一口田
嗲	口八乂夕夕
胖	月半
旺	日王
鞣	革フ丨ノ木
僖	亻士口丷一口
圣	又土
兼	丷一フ一一丨丨ノㄟ
蜣	虫羌
罗	罒夕
筇	工阝
彗	丰丰彐
荪	艹子小
洳	氵女口
佗	亻宀匕
莆	艹甫
魇	厂犬鬼
煺	火艮辶
乏	ノ之
嚎	口亠口冖豕
皎	白亠八乂
腺	月白水
鹏	月月鸟
柙	木甲
匪	匚非
蝣	虫方ノ一子
冼	冫儿
耘	耒二厶
殇	歹ノ一フノノ
宇	宀于
饽	饣十冖子
侗	亻冂一口
荆	艹开刂
序	广フ丨
亏	二フ
邺	业阝
肺	月一丨フ丨
虎	虍几
胼	月丷开
嚣	口口一ノ冂人口口
分	八刀
戆	立日十夂工冂人心
蚣	虫八厶
聘	耳由一フ
遘	辶一一丨丨一冉
爆	火日艹一八氺
觇	丨一口冂见下
惺	忄日生
烺	火良
胺	月宀女
霎	雨立女
滏	氵八乂干丷一
经	纟フ丶工
泳	氵永
姗	女册
或	戈口一
倘	亻冂口
航	舟亠几
豳	山豕豕
米	丶ノ木
訇	勹亠一一口
类	米大
携	扌亻亠乃
式	弋工
伏	亻犬
雎	且亻亠
蛎	虫厂万
逄	辶夂一フ丨
漏	氵尸雨
哲	扌斤口
俚	亻里
堙	土西土
怄	忄匚乂
袖	衤由
颖	匕禾一ノ冂人
隙	阝小日小
谳	讠十冂丷干犬
葺	艹口耳
尻	尸九
摺	156
瞎	目宀丰口
吲	口弓丨
爪	ノノ丨ㄟ
住	亻主
扼	扌厂フフ
会	人二厶
静	月フ一一丨
耕	耒井
硖	石夹
诳	讠犭王
癣	疒鱼羊
掺	扌厶大ノノノ
寻	彐寸
读	讠十フ丶丶大
玺	小玉
耍	而女
瀍	氵广里八土
驽	女又马
逍	辶月
扪	扌门
罚	罒讠刂
佚	亻失
押	扌甲
凼	水凵
讳	讠韦
樽	木丷酉寸
臼	ノ丨一フ一一
绗	纟彳亍
茆	艹ノフノ卩
疣	疒尤
仗	亻丈
玲	王人丶
栎	木乐
秫	禾术
俏	亻月
姽	女厂フフ
槽	木一丨フ一丨丨一日
秽	禾山夕
弗	フ一フノ丨
拆	扌斥
鋆	土勹冫金
謇	宀一一丨丨一八亠一一口
众	人人人
挺	扌壬廴
嗣	口冂艹フ一口
殳	几又
妫	女为
滚	氵亠八厶𧘇
绚	纟勹日
娴	女门木
屏	尸丷开
璎	王冂人冂人女
蒎	艹氵ノノノフノㄟ
钎	钅千
酪	酉夂口
疙	疒乞
褫	衤ノノ虍几
疖	疒卩
料	米丶丶十
鬼	ノ丨フ一一ノフ厶
责	冂人
镢	钅厂丷一フ丨ノ人
覆	西彳ノ一日夂
郅	一厶土阝
笼	龙
洣	氵米
跎	宀匕
疍	フ丨一人日一
孳	丷一幺幺子
挲	氵少手
敖	フノ攵
啖	口火火
沏	氵七刀
鲏	鱼フノ丨又
邪	牙阝
士	十一
肪	月方
泣	氵立
峣	山一フノ兀
钢	钅冂乂
渎	氵十フ丶丶大
与	一フ一
笳	力口
栖	木西
砖	石专
宬	宀成
阙	门丷一フ丨ノ人
锎	钅门开
昙	日二厶
俗	亻八人口
胪	月丨一尸
沣	氵丰
瓢	西二小瓜
岣	山勹口
阍	门氏日
铢	钅朱
济	氵文ノ丨
嵎	山禺
赎	冂人十フ丶丶大
炕	火亠几
狳	犭人余下
拳	手
孬	不女子
穴	宀八
擎	艹勹口攵手
哎	口艹乂
铙	钅一フノ兀
衫	衤ノノノ
铎	钅又一一丨
怪	忄又土
屣	尸彳止丨一人
傅	亻甫寸
琢	王一ノフノノ丶ノㄟ
炅	日火
嗍	口丷一フ丨ノ月
涎	氵亻一フ廴
痍	疒夷
尬	尢人ノ丨
戳	习习亻亠戈
舳	舟由
暖	日ノ⺍一又
皖	白宀二儿
蒙	艹冖二ノフノノノㄟ
钙	钅丐
恪	忄夂口
舻	舟丨一尸
刻	亠フノ人刂
朴	木卜
仵	亻午
呢	口尸匕
瑢	王宀八人口
哙	口人二厶
隆	阝夂一生
皆	比左匕白
蹇	宀一一丨丨一八口丨一人
嚆	口艹亠口冂口
尼	尸匕
扳	扌ノノ又
艳	丰巴
癖	疒尸口立十
晖	日冖车
店	广丨一口
留	ノフ丶刀田
沚	氵止
蛴	虫文ノ丨
直	十具上
更	一丨フ一一ノㄟ
玢	王八刀
探	扌冖八木
厢	厂木目
篼	白ノフフ一儿
诼	讠一ノフノノ丶ノㄟ
咙	口龙
陆	阝击
躇	艹耂日
溇	氵米女
庇	广比左匕
导	巳寸
岬	山甲
泗	氵囗儿
膳	月羊丷一口
鲬	鱼用
泚	氵止匕
轵	车口八
螫	土ノ丨ノ丶攵虫
错	钅艹一日
糗	米自犬
讣	讠卜
宣	宀一日一
殣	歹廿丨フ一一一丨一
沼	氵刀口
充	亠厶儿
煅	火ノ丨一一一几又
岚	山几乂
鲼	鱼十艹冂人
粼	米夕一フ丨フフ
凳	フ丶ノノㄟ一口丷一几
洗	氵儿
至	一厶土
迤	辶ノ一也
猪	犭耂日
蝴	虫十口月
靴	革亻匕
侵	亻彐冖又
季	禾子
击	一一丨凵
内	丨フノ丶
醅	酉立口
垫	扌丸土
鱼	田一
籼	米山
芎	艹弓
銎	工凡金
贬	冂人乏
鬣	一丨一二厶ノノノフフフ囗乂フ丶丶フ丶丶フ
卢	丨一尸
欣	斤人
鼫	臼フ丶丶フ丶丶フ石
玙	王与
莙	艹尹口
坪	土平
杪	木少
伫	亻宀一
潇	氵艹肃
厕	厂冂人刂
竖	丨丨又立
町	田丁
贼	冂人戈
钺	钅戈フ
扎	扌フ
关	丷天
煳	火十口月
竣	立厶八夂
抢	扌人フフ
绫	纟土八夂
泼	氵フノ又丶
仫	亻么
殚	歹丷丨フ一一一丨
呙	口内
单	丷丨フ一一一丨
捕	扌甫
徇	彳勹日
活	氵千口
龇	止人凵止匕
辇	夫夫车
茎	艹フ丶工
铺	钅甫
挎	扌大亏
猎	犭艹一日
邳	丕阝
阖	门土厶皿
拢	扌龙
窣	宀八亠人人十
纫	纟刃
诚	讠成
雪	雨彐
劢	万力
享	亠口子
吕	口口
阆	门良
峻	山厶八夂
系	ノ幺小
泻	氵冖与
鬏	一丨一二厶ノノノ禾火
苎	艹宀一
笏	勿
拎	扌人丶
嗖	口ノ丨一フ一一丨又
渗	氵厶大ノノノ
戢	口戈丨丨一一一
胳	月夂口
舢	舟山
想	木目心
嵬	山鬼
狙	犭且
拙	扌出
浼	氵丨フ一ノフ
阪	阝ノノ又
岖	山匚乂
万	一フノ
哺	口甫
治	氵厶口
礴	石艹氵甫寸
耻	耳止
头	丶丶大
总	丷口心
璆	王习习人ノノノ
豇	一口丷一工
咆	口勹巳
黾	口电
牢	宀牛
鸬	丨一尸鸟
玎	王丁
莎	艹氵少
魏	禾女鬼
渫	氵世木
筚	比左匕十
丫	丷丨
孚	ノ⺍子
帼	巾囗玉
芙	艹夫
鸫	东鸟
鸼	舟鸟
饴	饣厶口
裴	非亠𧘇
磴	石フ丶ノノㄟ一口丷一
捎	扌月
宏	宀厶
葆	艹亻口木
醢	酉口皿
摆	扌罒土厶
呆	口木
白	ノ日
虽	口虫
漾	氵永
伾	亻丕
恳	艮心
巫	工人人
淫	氵ノ⺍壬
骚	马叉虫
荙	艹大辶
娣	女丷フ一フ丨ノ
逻	辶罒夕
后	ノノ一口
每	ノ一母
纬	纟韦
京	亠口小
躬	身弓
诏	讠刀口
匙	日一丨一人匕
涫	氵宀㠯
痪	疒丨フ大
闪	门人
茕	艹冖フ十
圆	囗口冂人
滇	氵十具上八
织	纟口八
霆	雨壬廴
氏	ノフ一フ
奴	女又
鄢	正一フ灬阝
饫	饣夭
渚	氵耂日
帚	彐冖巾
弇	人一口廾
苕	艹刀口
盆	八刀皿
殖	歹十具上
集	亻亠木
蛆	虫且
氲	气日皿
株	木朱
鳆	156
薅	艹女厂二フノㄟ寸
堪	土其上八フ
槎	木工
再	一冉
镪	钅弓口虫
冕	冂一一丨フ一ノフ
紫	止匕幺小
贫	八刀冂人
写	冖与
洫	氵血
凹	丨フ丨フ一
吱	口十又
故	十口攵
畅	申フノノ
配	酉己
镅	钅フ丨一ノ目
税	禾丷口儿
免	丨フ一ノフ
萱	艹宀一日一
腕	月宀夕フフ
固	囗十口
溻	氵日习习
纻	纟宀一
兕	凹儿
麻	广木木
泫	氵亠幺
咪	口米
牙	一フ丨ノ
呱	口瓜
袪	衤土厶
穆	禾白少ノノ
戍	戊丶
刍	彐
舍	人干口
祎	礻韦
戕	爿戈
任	亻壬
铪	钅人一口
黻	业丶ノ丨フ丨ノ丶又丶
蚺	虫冉
哪	口フ一一ノ阝
沫	氵末
觚	用瓜
疱	疒勹巳
饪	饣壬
骆	马夂口
肩	户月
傩	亻又亻亠
重	ノ一丨フ一一丨一一
喱	口厂里
窖	宀八口
靺	革末
骖	马厶大ノノノ
多	夕夕
婆	氵フノ丨又女
胙	月乍
烙	火夂口
搪	扌广フ一一丨口
痱	疒非
洲	氵州
闱	门韦
贲	十艹冂人
胩	月上卜
烩	火人二厶
惩	彳正心
太	大丶
撅	扌厂丷一フ丨ノ人
密	宀必山
识	讠口八
篆	フフ豕
彻	彳七刀
佻	亻儿冫ノ丶
偌	亻艹口
轻	车フ丶工
眺	目儿冫ノ丶
机	木几
奚	ノ⺍幺大
咕	口十口
谫	讠丷一月刂刀
毖	比左匕必
钕	钅女
诖	讠土土
锱	钅フフフ田
由	丨フ一丨一
将	冫丨夕寸
已	フ一フ
谆	讠亠口子
悌	忄丷フ一フ丨ノ
瀹	氵人一口口口冂艹
塍	月土
肌	月几
瞢	艹罒冖目
枢	木匚乂
垢	土ノノ一口
俣	亻口天
措	扌艹一日
谖	讠ノ⺍一又
诫	讠戈廾
镱	钅立日心
液	氵亠亻ノフ丶ㄟ
锅	钅口内
赆	冂人尺丶丶
浆	冫丨夕水
复	ノ一日夂
忻	忄斤
螺	虫田幺小
祖	礻且
愕	忄口口亏
背	丨一一匕月
矢	ノ天
辣	立束
柢	木氐
险	阝人一⺍一
侣	亻口口
讫	讠乞
鄙	口十囗口阝
鹲	艹冖二ノフノノノㄟ鸟
干	一十
湲	氵ノ⺍一又
桢	木丨一冂人
蚱	虫乍
股	月几又
邡	方阝
擅	扌亠囗口日一
顺	川一ノ冂人
首	丷一自
霪	雨氵ノ⺍壬
轫	车刃
珙	王艹一八
妖	女夭
尚	冂口
斩	车斤
蜢	虫子皿
眢	夕フフ目
佣	亻用
鹪	亻亠灬鸟
莅	艹亻立
菹	艹氵且
囱	ノ囗夂
蛱	虫夹
盱	目于
郡	尹口阝
胡	十口月
串	丨フ一丨フ一丨
枕	木丶フノフ
廖	广习习人ノノノ
鞍	革宀女
迎	辶ノフ卩
翎	人丶习习
面	一ノ囗丨丨一一
垍	土自
俎	人人且
睢	目亻亠
担	扌日一
阱	阝井
怡	忄厶口
嘱	口尸禹
昱	日立
仲	亻中
裢	衤车辶
逡	辶厶八夂
猩	犭日生
编	纟户冂艹
他	亻也
坍	土丹
代	亻弋
棺	木宀㠯
磺	石艹一由八
厅	厂丁
鄹	耳又亻ノノノㄟ阝
绣	纟禾乃
柄	木丙
媪	女日皿
虱	フノ虫
纲	纟冂乂
溲	氵ノ丨一フ一一丨又
噱	口虍豕
亲	立朩
蠕	虫雨而
颢	日亠口小一ノ冂人
袢	衤半
荩	艹尺丶丶
砍	石人
低	亻氐
堍	土丨フ一ノフ丶
兹	丷一幺幺
团	囗才
酹	酉ノ⺍寸
卅	一ノ丨丨
捅	扌用
纣	纟寸
孪	亠丨丨ノ丶子
歪	不正
奢	大耂日
耔	耒子
途	辶人余下
怔	忄正
祢	礻小
芩	艹人丶フ
美	大
而	一ノ冂丨丨
堕	阝月土
倌	亻宀㠯
澎	氵士口丷一ノノノ
点	丨一口灬
杲	日木
缳	纟罒一口𧘇
瘢	疒舟几又
阢	156
饺	饣亠八乂
择	扌又一一丨
凡	几丶
视	礻冂见下
秆	禾干
狩	犭宀寸
投	扌几又
觖	用夬guài
彳	ノ亻
佳	亻土土
夺	大寸
噢	口ノ冂米大
隍	阝白王
轳	车丨一尸
绎	纟又一一丨
院	阝宀二儿
怩	忄尸匕
耩	耒一一丨丨一冉
韪	日一丨一人韦
稆	禾口口
倩	亻月
剕	非刂
跣	儿
疢	疒火
伎	亻十又
船	舟几口
姆	女母
降	阝夂一フ丨
刹	乂朩刂
缎	纟ノ丨一一一几又
瞪	目フ丶ノノㄟ一口丷一
枪	木人フフ
魆	鬼戈フ
茅	艹フ丨ノ
蜕	虫丷口儿
酡	酉宀匕
快	忄夬guài
彖	フフ豕
齉	自田一ノ丨一丨フ一丨冖口口一一丨丨一𧘇
褒	亠亻口木𧘇
痢	疒禾刂
趣	土丨一人耳又
蠼	虫目目亻亠又
既	即左一フノフ
魍	鬼冂丷一亡
囔	口一丨フ一丨冖口口一一丨丨一𧘇
翳	匚矢几又习习
禺	丨フ一一丨フ丨一丶
剅	一口丷一刂
乎	ノ丶ノ一丨
眍	目匚乂
服	月卩又
批	扌比左匕
蜍	虫人余下
抡	扌人匕
攮	扌一丨フ一丨冖口口一一丨丨一𧘇
芡	艹人
硪	石我
纛	母具上小ノ幺小
醭	酉业ㄟ
灞	氵雨革月
鑫	金金金
衢	彳目目亻亠亍
躞	火亠一一口火又
雕	冂土口亻亠
醾	酉广木木米
蠹	一丨フ一丨冖石虫虫
辖	车宀丰口
蠲	丷一八皿罒勹虫
务	夂力
赣	立日十夂工冂人
麟	广フ丨丨一比左匕米夕一フ丨
寤	宀爿五口
锢	钅囗十口
鼷	臼フ丶丶フ丶丶フノ⺍幺大
鼹	臼フ丶丶フ丶丶フ日宀女
浣	氵宀二儿
唢	口冂人
炱	厶口火
甪	ノ用
空	宀八工
唪	口寿上ㄟ一一丨
婺	フ丨ノ攵女
盍	土厶皿
包	勹巳
悱	忄非
狡	犭亠八乂
界	田人ノ丨
敌	千口攵
苡	艹フ丶人
罐	缶艹口口亻亠
糖	米广フ一一丨口
躜	儿儿冂人
鳖	丶ノ丨フ丨ノ丶攵鱼
蒜	艹二小二小
攥	扌目大幺小
攫	扌目目亻亠又
趱	土丨一人儿儿冂人
寺	土寸
鬻	弓米弓一口冂丷一丨
饔	亠乡亻亠人良
瓤	亠口口一一丨丨一𧘇瓜
穰	禾亠口口一一丨丨一𧘇
碰	石丷亚
洞	氵冂一口
髑	骨罒勹虫
躐	フフフ囗乂フ丶丶フ丶丶フ
煸	火户冂艹
瞩	目尸禹
健	亻聿廴
哕	口山夕
圻	土斤
兄	口儿
沤	氵匚乂
禅	礻丷丨フ一一一丨
响	口ノ冂口
馅	饣臼
囊	一丨フ一丨冖口口一一丨丨一𧘇
蘼	艹广木木非
鹳	艹口口亻亠鸟
戡	其上八フ戈
蘸	艹酉亻亠灬
韂	革厂八亠一一口
漆	氵木人氺
蕻	艹一丨一二厶艹一八
耲	156
淹	氵大电
蠡	フフ豕虫虫
羼	尸羊羊
墈	土其上八フ力
禳	礻亠口口一一丨丨一𧘇
倜	亻冂土口
爝	火ノ⺍罒即左寸
夔	丷一自止巳八夂
僦	亻亠口小尤
癫	疒十具上八一ノ冂人
簪	一フノフ一フノフ日
鳡	鱼戌口心
鼱	臼フ丶丶フ丶丶フ月
蒹	艹丷一フ一一丨丨ノㄟ
跹	千辶
疸	疒日一
黯	黑立日
躏	艹门亻亠
泖	氵ノフノ卩
劲	フ丶工力
曩	日亠口口一一丨丨一𧘇
熄	火自心
颦	止丨ノノ一ノ冂人ノ丨フ一一ノ十
镌	钅亻亠乃
旌	方ノ一生
嗌	口丷一八皿
牡	牛土
颔	人丶フ口一ノ冂人
露	雨夂口
磔	石夕一フ丨木
