的	白勹丶󰁶
表	主󰀔󰁧
机	木几󰁀
关	䒑大󰁧
新	立木斤󰀢
平	一丷十󰀵
各	夂口󰀘
相	木目󰀝
间	门日󰀌
心	心丶󰁒丶
正	一止󰀌
与	一ㄅ一󰀌
西	西一丨一
形	一廾彡ノ
反	⺁又󰀦
看	目󰀘
明	日月󰀝
又	又又又又
么	丿厶󰁧
内	冂人󰀦
你	亻⺈小󰁶
但	亻日一󰀝
利	禾刂󰀢
道	䒑丿目辶
原	厂白小󰀦
没	氵几又󰁶
第	⺮弓丨丿
比	󰁴匕󰁀
命	人一口卩
数	米女夂󰁶
只	口八󰁧
线	纟二󰅅丶
向	丿冂口󰀌
问	门口󰀌
意	立日心󰁧
站	立󰀥口󰀝
此	止匕󰁀
或	戈口󰀞󰀌
条	夂木󰁧
无	二󰁜󰁫
公	八厶󰁧
质	⺁十贝󰀦
结	纟士口󰀝
解	⺈月丨󰀟
情	忄主月󰀝
建	󰁬󰀟廴󰀵
月	月月月月
想	木目心󰁧
很	彳彐󰀖󰁶
变	亠󰁗又󰁧
者	土丿日󰀘
代	亻弋
已	已已已已
立	立立立立
系	丿ㄠ小󰁧
军	冖车󰀬
最	日耳又󰁧
并	䒑廾󰀬
提	扌日一󰁾
党	⺌冖口儿
题	日一󰁾贝
气	󰅎⺄󰀅
五	五一丨一
展	尸󰁺󰀖󰀦
象	⺈口󰀓󰁧
文	文丶一󰂃
通	󰁻月丨辶
总	丷口心󰁧
果	日木󰀦
次	冫⺈人󰁶
员	口贝󰁧
革	廿口十󰀬
活	氵丿古󰀝
程	禾口王󰀝
常	⺌冖口丨
头	󰁦大󰀦
位	亻立󰀝
老	土丿匕󰀅
直	十󰀣󰀘
入	丿󰂃󰀦
特	牜土寸󰁶
品	口口口󰀘
件	亻丿󰀟󰀢
山	山山山山
见	ㄇ󰁜󰀅
路	口止夂口
求	一氺丶󰀦
管	⺮宀丨󰁃
及	乃󰂃󰀦
级	纟乃󰂃󰁶
少	小丿󰀏
基	艹三八土
别	口力刂󰀢
设	讠几又󰁶
式	󰀁工丶󰀦
资	冫⺈人贝
知	𠂉大口󰀝
组	纟󰀐一󰀝
几	几丿󰁊
手	手丿一亅
论	讠人匕󰁀
统	纟亠厶儿
接	扌立女󰀝
农	冖󰀔󰀦
被	衤󰁧󰅌又
边	力辶󰀏
指	扌匕日󰀝
将	丬夕寸󰁶
料	米󰁦十󰀢
九	九丿󰁊
决	冫ユ人󰁶
先	丿土儿󰀅
根	木彐󰀖󰁶
期	艹三八月
计	讠十󰀢
强	弓口虫󰁶
干	干一一丨
战	󰀥口戈󰁶
回	囗口󰀌
放	方夂󰁶
她	女也󰁀
给	纟人一口
任	亻丿士󰀝
运	二厶辶󰀦
做	亻古夂󰁶
必	心丿󰀏
流	氵亠厶󰀸
区	匚乂󰀦
取	耳又󰁶
门	门丶丨𠃌
处	夂卜󰀦
据	扌尸古󰀝
南	十冂䒑十
则	贝刂󰀢
队	阝人󰁶
图	囗夂󰁦󰀦
北	丬匕󰁀
百	丆日󰀘
光	⺌一儿󰀅
治	氵厶口󰀝
东	󰀂小󰀦
保	亻口木󰁶
志	士心󰁧
较	车亠八乂
领	人丶󰁻贝
海	氵𠂉母󰁶
口	口口口口
七	七一乚
导	巳寸󰁧
调	讠󰀼土口
即	彐厶卩󰀢
什	亻十󰀢
造	丿土口辶
金	金金金金
吃	口𠂉乙󰁀
规	二人ㄇ󰁜
争	⺈󰁬亅󰀬
思	田心󰁧
世	廿󰄃󰁫
共	󰁺八󰁧
六	亠八󰁧
认	讠人󰁶
交	亠八乂󰁧
受	爫冖又󰁧
阶	阝人󰀯󰀢
色	⺈巴󰀅
联	耳䒑大󰁶
极	木乃󰂃󰁶
美	丷王大󰁧
济	氵文󰀯󰀢
更	一日乂󰀦
打	扌丁󰀢
改	󰁁夂󰁶
再	一冂土󰀌
增	土丷󰀺日
收	󰁐丨夂󰁶
清	氵主月󰀝
切	七刀ノ
真	十󰀣八󰁧
教	土丿孑夂
场	土ㄋ󰁤ノ
权	木又󰁶
安	宀女󰀘
万	一󰁡󰀏
术	木丶󰀦
证	讠一止󰀝
身	丿󰀽三丿
务	夂力󰁣
走	土󰁾󰁧
带	一〣冖丨
斗	󰁦十󰀵
角	⺈月丨󰀬
单	丷󰅐󰀬
花	艹亻ヒ󰀅
目	目目目目
完	宀二儿󰀅
声	士󰁅󰁣
热	扌九丶灬
报	扌卩又󰁶
八	八丿󰂃
白	白白白白
才	󰀛丿󰀏
具	󰀣八󰁧
至	一厶土󰀘
张	弓丿七󰂃
马	󰀊一󰀌
每	𠂉母󰁧
话	讠丿古󰀝
达	大辶󰀦
转	车二󰁓丶
议	讠丶乂󰁶
科	禾󰁦十󰀢
器	口口大口
示	二小󰁧
确	石⺈月丨
许	讠𠂉十󰀢
今	人丶乛󰀅
例	亻一夕刂
集	亻󰁷木󰁧
信	亻言󰀝
记	讠己󰁀
积	禾口八󰁶
群	󰁬丿口󰀟
步	止󰀤󰁣
整	一口󰅇止
广	广丶一丿
风	几乂󰀦
传	亻二󰁓丶
界	田人󰀯󰀬
华	亻ヒ十󰀬
且	󰀐一󰀌
元	二儿󰀅
离	亠乂凵厶
压	厂土丶󰀦
研	石一廾󰀢
究	宀八九󰀅
况	冫口儿󰁀
书	󰁈𠃌丨丶
拉	扌立󰀝
类	米大󰁧
节	艹ㄗ󰀬
采	爫木󰁧
观	又ㄇ󰁜󰁀
越	土󰁾一丶
众	人人人󰁧
持	扌土寸󰁶
叫	口󰁐丨󰀢
油	氵由󰀝
速	一口󰅇辶
织	纟口八󰁶
林	木木󰁶
段	亻三几又
难	又亻󰁷󰀝
需	󰀙丆冂〢
非	丨三丨三
复	𠂉日夂󰁧
儿	儿丿乚
律	彳󰁬󰀟󰀢
布	冂丨󰀬
际	阝二小󰁶
连	车辶󰀵
算	⺮目廾󰀬
深	氵冖八木
容	宀八人口
千	丿十󰀵
近	斤辶󰀵
周	󰀼土口󰀌
影	日亠口彡
断	米󰄃斤󰀢
己	己󰁈一乚
办	力八󰀦
须	彡丆贝󰁶
商	亠丷冂口
石	石一丿一
青	主月󰀘
米	米丶丿󰂃
便	亻一日乂
感	厂一口心
省	小丿目󰀘
支	十又󰁧
何	亻丁口󰀝
团	囗󰀛丿󰀏
验	󰀊󰀞人一
半	丷󰀟󰀵
往	彳丶王󰀝
约	纟勹丶󰁶
太	大丶󰀦
克	古儿󰀅
劳	艹冖力󰁣
历	厂力󰀏
备	夂田󰀘
列	一夕刂󰀢
低	亻󰁚󰀁丶
委	禾女󰀘
市	亠冂丨󰀬
史	口乂󰀦
响	口丿冂口
准	冫亻󰁷󰀝
精	米主月󰀝
习	𠃌冫󰀌
消	氵⺌月󰀝
写	冖一ㄅ一
候	亻丨ユ大
土	土土土土
称	禾⺈小󰁶
技	扌十又󰁶
空	宀八工󰀘
府	广亻寸󰀦
亲	立木󰁧
毛	丿二乚󰁫
温	氵日皿󰀝
率	亠ㄠ󰀪十
院	阝宀二儿
划	戈刂󰀢
装	丬士亠󰀔
存	丨子󰀌
眼	目彐󰀖󰁶
快	忄ユ人󰁶
标	木二小󰁶
值	亻十󰀣󰀝
族	方𠂉𠂉大
王	王王王王
查	木日一󰀘
江	氵工󰀝
斯	艹三八斤
素	主ㄠ小󰁧
却	土厶卩󰀢
除	阝人一木
号	口一ㄅ󰀅
住	亻丶王󰀝
格	木夂口󰀝
参	厶大彡󰁣
满	氵艹一人
始	女厶口󰀝
般	丿󰁪几又
包	勹巳󰁫
识	讠口八󰁶
专	二󰁓丶󰀦
京	亠口小󰁧
照	日刀口灬
车	车一ㄥ丨
按	扌宀女󰀝
选	丿土儿辶
火	火火火火
易	日勹󰁤󰁣
厂	厂一丿
听	口斤󰀢
该	讠亠ㄥ人
红	纟工󰀝
属	尸丿口丶
维	纟亻󰁷󰀝
县	󰀐一厶󰁧
严	一󰅊厂󰁣
派	氵⺁󰀕󰁶
局	尸𠃌口󰀌
讲	讠二󰀯󰀢
呢	口尸匕󰁀
继	纟米󰄃󰁀
首	䒑丿目󰀘
片	丿丨一󰁈
构	木勹厶󰁶
女	女女女女
德	彳十罒心
死	一夕匕󰁫
效	亠八乂夂
谈	讠火火󰁶
失	󰅎人󰀦
神	礻󰁶日丨
望	亠󰁐月王
价	亻人󰀯󰀢
铁	钅󰅎人󰁶
酸	西一厶夂
底	广󰁚󰀁丶
黄	󰁺由八󰁧
随	阝月辶
苏	艹力八󰁧
引	弓丨󰀢
推	扌亻󰁷󰀝
艺	艹乙󰀅
尔	⺈小󰁧
官	宀丨󰁃󰁃
适	丿古辶󰀌
批	扌󰁴匕󰁀
英	艹ㄇ大󰁧
告	丿土口󰀘
席	广廿冂丨
举	󰀧一八󰀟
李	木子󰀘
师	リ一冂丨
势	扌九丶力
细	纟田󰀝
帮	三丿阝丨
显	日󰅊一󰀘
项	工丆贝󰁶
状	丬大丶󰁶
字	宀子󰀘
育	亠厶月󰀘
层	尸二厶󰀦
破	石󰅌又󰁶
落	艹氵夂口
怎	𠂉丨二心
营	艹冖口口
远	二儿辶󰁫
士	士一丨一
台	厶口󰀘
企	人止󰀘
爱	爫冖又
言	言言言言
河	氵丁口󰀝
配	西一己󰁀
围	囗二𠃌丨
型	一廾刂土
服	月卩又󰁶
朝	十日十月
轻	车ス工󰀝
紧	〢又ㄠ小
武	二止󰁒丶
仅	亻又󰁶
另	口力󰁣
章	立日十󰀬
亚	一󰅊一󰀌
视	礻󰁶ㄇ󰁜
封	土土寸󰁶
密	宀心丿山
注	氵丶王󰀝
材	木󰀛丿ノ
案	宀女木󰁧
供	亻󰁺八󰁶
止	止丨一一
木	木木木木
续	纟十乛大
早	日十󰀬
防	阝方ノ
护	扌丶尸ノ
判	丷󰀠刂󰀢
态	大丶心󰁧
司	𠃌一口󰀌
固	囗古󰀌
似	亻󰁐丶人
罪	罒丨三三
黑	󰀹土灬󰁧
充	亠厶儿󰀅
兴	󰀧一八󰁧
某	艹二木󰁧
树	木又寸󰁶
击	󰀟凵󰀬
致	一厶土夂
圆	囗口贝󰀦
液	氵亠亻丶
音	立日󰀘
坚	〢又土󰀘
足	口󰁾󰁧
负	⺈贝󰁧
害	宀三丨口
含	人丶乛口
余	人一木󰁧
夫	二人󰀦
排	扌丨三三
费	弓󰀯贝󰁧
源	氵厂白小
觉	󰀧冖ㄇ󰁜
范	艹氵⺋󰀅
左	工󰀘
够	勹口夕夕
差	䒑󰀠工󰀘
城	土厂𠃌丶
春	三人日󰀘
食	人丶彐󰀖
兵	󰅍一八󰁧
施	方𠂉也󰁀
富	宀一口田
均	土勹冫󰀝
置	罒十󰀣󰀘
减	冫厂一丶
故	古夂󰁶
虽	口虫󰁧
曾	丷󰀺日󰀘
占	󰀥口󰀘
送	䒑大辶󰀦
笑	⺮丿大󰁧
试	讠󰀁工丶
职	耳口八󰁶
氧	󰅎⺄䒑󰀟
阳	阝日󰀝
汉	氵又󰁶
留	󰁚丶刀田
跟	口止彐󰀖
修	亻丨夂彡
巴	巴󰁈丨乚
创	人⺋刂󰀢
助	󰀐󰀞力ノ
未	二󰅇󰀦
犯	犭ノ⺋󰁀
初	衤󰁧刀ノ
功	工力ノ
抗	扌亠几󰁀
田	田田田田
坏	土丆卜󰁶
降	阝夂󰀂丨
古	古一丨一
尽	尸󰂃󰁦󰁧
互	一󰅂一󰀌
财	贝󰀛丿ノ
溶	氵宀八口
病	疒一冂人
叶	口十󰀢
投	扌几又󰁶
策	⺮一冂󰅇
责	主贝󰁧
波	氵󰅌又󰁶
令	人丶󰁻󰁧
独	犭ノ虫󰁶
考	土丿一ㄅ
右	口󰀘
请	讠主月󰀝
球	王一氺丶
让	讠󰀥一󰀝
副	一口田刂
双	又又󰁶
检	木人一一
宜	宀󰀐一󰀘
杂	九木󰁧
钱	钅二󰅅丶
述	木丶辶󰀦
限	阝彐󰀖󰁶
简	⺮门日󰀘
找	扌戈󰁶
冲	冫口丨󰀢
端	立山丆〢
输	车人一刂
倒	亻一厶刂
养	䒑二人󰀯
敌	丿古夂󰁶
阿	阝丁口󰀝
超	土󰁾刀口
换	扌⺈ㄇ大
州	丶丿丶丨
胜	月丿主󰀝
帝	亠丷冖丨
依	亻亠󰀔󰁶
坐	人人土󰀌
纪	纟己󰁀
突	宀八大丶
念	人丶乛心
客	宀夂口󰀘
绝	纟⺈巴󰁀
升	丿廾󰀵
陈	阝󰀂小󰁶
略	田夂口󰀝
益	䒑八皿󰀘
否	丆卜口󰀘
罗	罒夕󰁧
仍	亻乃ノ
吸	口乃󰂃󰁶
苦	艹古󰀘
错	钅󰁺日󰀝
承	了三󰀩󰀦
友	又󰁧
草	艹日十󰀬
夜	亠亻夂丶
微	彳山一夂
优	亻乚丶
画	一田凵󰀬
础	石凵山󰀢
协	十力八󰁶
良	丶彐󰀖󰀦
射	丿󰀽三寸
曲	ㄇ󰁺󰀌
洋	氵䒑󰀟󰀢
村	木寸󰁶
矿	石广ノ
终	纟夂󰁦󰁶
轮	车人匕󰁀
块	土ユ人󰁶
环	王丆卜󰁶
析	木斤󰀢
径	彳ス工󰀝
哪	口𠃌󰀠阝
烈	一夕刂灬
校	木亠八乂
板	木⺁又󰁶
云	二厶󰁧
诉	讠斤丶󰁶
既	彐厶󰀂󰁜
迅	⺄十辶󰀵
刻	亠ㄥ丿刂
靠	丿土口三
察	宀󰁯二小
逐	一󰀓辶󰀦
央	ㄇ大󰀦
待	彳土寸󰁶
母	母󰄃𠃌丶
境	土立日儿
激	氵白方夂
渤	氵十冖力
模	木艹日大
控	扌宀八工
卫	ㄗ一󰀌
久	ク󰂃󰀦
印	󰁚一卩󰀢
房	丶尸方󰀏
停	亻亠口丁
甚	艹三八󰄃
皮	󰅌又󰀦
洲	氵丶丿丨
搞	扌亠口口
息	丿目心󰁧
移	禾夕夕󰁶
旧	丨日󰀝
拿	人一口手
若	艹口󰀘
顶	丁丆贝󰁶
短	𠂉大一䒑
湖	氵古月󰀝
括	扌丿古󰀝
挥	扌冖车󰀢
侵	亻彐冖又
甲	甲丨󰁈丨
游	氵方𠂉子
语	讠五口󰀝
冷	冫人丶󰁻
普	䒑󰅊一日
银	钅彐󰀖󰁶
乐	丿󰄃小󰀦
医	匚𠂉大󰀦
烧	火弋丿儿
刘	文刂󰀢
吗	口󰀊一󰀝
针	钅十󰀢
纸	纟󰁚弋󰁀
粉	米八刀ノ
散	󰁺月夂󰁶
急	⺈彐心󰁧
预	󰁻乛亅贝
扩	扌广ノ
愿	厂白小心
核	木亠ㄥ人
吧	口巴󰁀
龙	ヒ丶󰀦
误	讠口一大
欢	又⺈人󰁶
孩	孑亠ㄥ人
盐	土卜皿󰀘
善	䒑󰀟䒑口
雨	雨一丨丶
货	亻ヒ贝󰁧
讨	讠寸󰁶
测	氵贝刂󰀢
丝	󰁲󰁲一󰀘
室	宀一厶土
混	氵日󰁴匕
弹	弓丷󰅐󰀢
乎	丿丷󰀛󰀵
鲜	󰁢󰀞䒑󰀟
晚	日⺈口󰁜
乱	丿古乚󰁀
沙	氵小丿ノ
序	广󰁻乛亅
缺	󰅎山ユ人
获	艹犭ノ丶
读	讠十乛大
鲁	󰁢一日󰀘
载	土车󰅅丶
渐	氵车斤󰀢
父	八乂󰁧
啊	口阝丁口
演	氵宀一八
刚	冂乂刂󰀢
守	宀寸󰁧
宁	宀丁󰀬
杀	乂木󰁧
谓	讠田月󰀝
刑	一廾刂󰀢
附	阝亻寸󰁶
担	扌日一󰀝
贵	口丨一贝
班	王丶丿王
稳	禾⺈彐心
钢	钅冂乂󰁶
迫	白辶󰀌
答	⺮人一口
距	口止匚󰁃
药	艹纟勹丶
假	亻󰁃丨又
毫	亠口冖乚
兰	丷三󰀘
喜	士口䒑口
练	纟󰀂𠃌八
乙	乙乙〇〇
酒	氵西一󰀝
盾	⺁十目󰀌
困	囗木󰀦
买	乛󰁦大󰁧
福	礻󰁶一田
征	彳一止󰀝
阻	阝󰀐一󰀝
损	扌口贝󰁶
介	人󰀯󰀬
剂	文󰀯刂󰀢
穿	宀八󰀂丿
钟	钅口丨󰀢
顺	川丆贝󰁶
飞	⺄󰁦󰀦
丰	三丨󰀵
怕	忄白󰀝
祖	礻󰁶󰀐一
矛	󰁻乛亅丿
执	扌九丶󰁶
星	日丿主󰀘
谁	讠亻󰁷󰀝
血	丿皿󰀌
背	丬匕月󰀘
掌	⺌冖口手
脱	月丷口儿
希	乂冂丨
评	讠一丷十
沉	氵冖几󰁀
概	木彐厶󰁜
跑	口止勹巳
熟	亠口孑灬
伤	亻𠂉力ノ
衣	亠󰀔󰁧
械	木戈廾󰀢
烟	火囗大󰁶
审	宀日丨󰀬
扬	扌ㄋ󰁤ノ
翻	丿米田羽
秋	禾火󰁶
露	󰀙口止口
慢	忄日罒又
静	主月⺈亅
免	⺈口󰁜󰀅
促	亻口󰁾󰁶
践	口止二丶
脚	月土厶卩
妈	女󰀊一󰀝
补	衤󰁧卜󰁶
薄	艹氵一寸
牛	丿󰀟󰀵
句	勹口󰀌
握	扌尸一土
编	纟丶尸艹
庆	广大󰀦
亮	亠口冖几
笔	⺮丿二乚
居	尸古󰀌
味	口二󰅇󰁶
映	日ㄇ大󰁶
斤	斤丿丿丨
培	土立口󰀝
松	木八厶󰁶
乡	󰁲丿󰀏
诗	讠土寸󰁶
异	巳廾󰀬
孔	孑乚󰁀
顾	厂⺋丆贝
呼	口丿丷󰀛
香	禾日󰀘
菜	艹爫木󰁧
威	厂一女丶
尼	尸匕󰁫
抓	扌⺁丨󰂃
攻	工夂󰁶
奇	大丁口󰀘
倍	亻立口󰀝
临	〢𠂉丶一
掉	扌󰀥日十
岁	山夕󰁧
脸	月人一一
剧	尸古刂󰀢
哥	丁口丁口
延	丿止廴󰀌
末	一木󰀦
销	钅⺌月󰀝
皇	白王󰀘
永	丶𠃌󰀩󰀦
汽	氵󰅎⺄󰁀
景	日亠口小
娘	女丶彐󰀖
伟	亻二𠃌丨
齐	文󰀯󰀬
陆	阝󰀟凵󰀢
赵	土󰁾乂󰀦
雷	󰀙田󰀘
危	⺈厂⺋󰀅
胡	古月󰀝
聚	耳又乑󰁧
硫	石亠厶󰀸
束	一口󰅇󰀦
轴	车由󰀝
套	大󰀍厶󰁧
座	广人人土
粮	米丶彐󰀖
灯	火丁󰀢
课	讠日木󰁶
绍	纟刀口󰀝
杨	木ㄋ󰁤ノ
怀	忄丆卜󰁶
饭	⺈󰁐⺁又
赶	土󰁾干󰀵
缩	纟宀亻日
额	宀夂口贝
孙	孑小󰁶
棉	木白冂丨
鼓	士口䒑又
宽	宀艹ㄇ󰁜
绿	纟󰁭氺󰁶
川	川丿丨丨
夺	大寸󰁧
归	リ彐󰀝
灭	一火󰀦
煤	火艹二木
宗	宀二小󰁧
衡	彳󰁢大丁
卷	䒑大⺋󰀅
盟	日月皿󰀘
弱	弓冫弓冫
竟	立日儿󰀅
镇	钅十󰀣八
途	人一木辶
厚	厂日子󰀌
触	⺈月丨虫
措	扌󰁺日󰀝
藏	艹厂󰄃丶
玉	王丶󰀦
哈	口人一口
零	󰀙人丶󰁻
枪	木人⺋󰁀
灵	彐火󰁧
险	阝人一一
款	士二小人
召	刀口󰀘
遍	丶尸冂辶
呀	口󰀂亅丿
敢	󰁈耳夂󰁶
恶	一󰅊一心
借	亻󰁺日󰀝
歌	丁口丁人
脑	月亠乂凵
泽	氵又󰀟󰀢
染	氵九木󰁧
庭	广丿士廴
唱	口日日󰀝
训	讠川󰀢
堂	⺌冖口土
域	土戈口󰀞
植	木十󰀣󰀝
欧	匚乂⺈人
宪	宀丿土儿
裂	一夕刂󰀔
努	女又力󰁣
彻	彳七刀ノ
探	扌冖八木
沿	氵几口󰀝
户	丶尸󰀏
振	扌厂二󰀖
粒	米立󰀝
频	止󰀤丆贝
督	󰀥一小目
袁	土口󰀔󰁧
垂	丿十󰁺一
纯	纟一凵乚
纳	纟冂人󰁶
折	扌斤󰀢
操	扌口口木
暗	日立日󰀝
耐	丆冂〢寸
份	亻八刀ノ
录	󰁭氺󰁧
卖	十乛󰁦大
退	彐󰀖辶󰀦
遇	日冂丨辶
茶	艹人木󰁧
润	氵门王󰀝
肉	冂人人󰀦
康	广󰁬氺󰀦
唯	口亻󰁷󰀝
浓	氵冖󰀔󰁶
胞	月勹巳󰁀
符	⺮亻寸󰁧
雪	󰀙彐󰀘
磁	石䒑ㄠㄠ
献	十冂䒑丶
船	丿󰁪几口
忙	忄亠󰄃󰁀
追	亻󰁃󰁃辶
伊	亻󰁬丿ノ
税	禾丷口儿
私	禾厶󰁶
篇	⺮丶尸艹
盘	丿󰁪皿󰀘
夏	丆目夂󰁧
卡	󰀥一卜󰁧
盖	丷王皿󰀘
丁	丁一亅
季	禾子󰀘
迎	󰁚卩辶󰀵
予	󰁻乛亅󰀬
架	力口木󰁧
阴	阝月󰀝
刀	刀𠃌丿
阵	阝车󰀢
瓦	一󰁐󰁊丶
野	日土󰁻亅
盛	厂𠃌󰅅皿
氢	󰅎⺄ス工
削	⺌月刂󰀢
伸	亻日丨󰀢
索	十冖ㄠ小
旗	方𠂉艹八
忽	勹󰁤心󰁧
访	讠方ノ
累	田ㄠ小󰁧
燃	火󰁝大灬
虑	󰅋七心󰀦
迹	亠󰁖辶󰀦
亦	亠󰁖󰁧
典	ㄇ󰁺八󰁧
晶	日日日󰀘
雄	厶亻󰁷
泛	氵丿之󰁶
谋	讠艹二木
托	扌丿七󰁀
透	禾乃辶󰀏
横	木󰁺由八
屋	尸一厶土
朱	󰅎󰅇󰀦
惊	忄亠口小
奋	大田󰀘
替	二人二日
痛	疒󰁻月丨
裁	土亠󰀔丶
抽	扌由󰀝
楚	木木乛󰁾
避	尸口立辶
硬	石一日乂
寨	宀󰀀八木
床	广木󰀦
旁	亠丷冖方
遗	口丨一辶
弟	丷弓丨丿
洗	氵丿土儿
幅	冂丨一田
毒	主母󰁧
顿	一凵󰁐贝
尚	⺌冂口󰀘
塞	宀󰀀八土
暴	日󰁺八氺
谢	讠丿󰀽寸
宝	宀王丶󰁧
圈	囗䒑大⺋
招	扌刀口󰀝
彩	爫木彡ノ
闻	门耳󰀌
胶	月亠八乂
残	一夕二丶
遭	一ㄇ󰁺辶
爷	八乂ㄗ󰀬
斜	人一木十
警	艹勹口言
揭	扌日勹󰄃
鱼	󰁢一󰀘
释	丿米又󰀟
倾	亻󰁴丆贝
潮	氵十日月
贯	󰅂十贝󰁧
偏	亻丶尸艹
摇	扌爫󰅎山
监	〢𠂉丶皿
购	贝勹厶󰁶
徐	彳人一木
付	亻寸󰁶
灰	火󰁧
园	囗二儿󰁫
摆	扌罒土厶
殊	一夕󰅎󰅇
蒸	艹了󰀩灬
碎	石亠人十
糖	米广󰁬口
词	讠𠃌一口
耗	三󰅇丿乚
赞	丿土儿贝
炮	火勹巳󰁀
吴	口一大󰁧
愈	人一月心
堆	土亻󰁷󰀝
骨	󰀾月󰀘
凯	山󰁁几󰁀
午	𠂉十󰀬
桥	木丿大󰀯
巨	匚󰁃󰀌
救	一氺丶夂
荣	艹冖木󰁧
纷	纟八刀ノ
秦	三人禾󰁧
订	讠丁󰀢
旋	方𠂉乛󰁾
割	宀三丨刂
侧	亻贝刂󰀢
纤	纟丿十󰀢
凡	几丶󰀦
亡	亠󰄃󰁫
杆	木干󰀢
弦	弓亠ㄠ󰁶
馆	⺈󰁐宀󰁃
恩	囗大心󰁧
宋	宀木󰁧
妇	女彐󰀝
吹	口⺈人󰁶
男	田力󰁣
版	丿丨一又
禁	木木二小
繁	𠂉母夂小
滑	氵󰀾月󰀝
败	贝夂󰁶
捕	扌一月丶
择	扌又󰀟󰀢
唐	广󰁬丨口
播	扌丿米田
爸	八乂巴󰀅
泥	氵尸匕󰁀
跳	口止儿󰀪
君	󰁬丿口󰀌
湾	氵亠󰁗弓
碳	石山火
综	纟宀二小
废	广ㄥ丿丶
庄	广土󰀌
吨	口一凵乚
库	广车󰀵
睛	目主月󰀝
楼	木米女󰀝
麻	广木木󰀦
涉	氵止󰀤ノ
尺	尸󰂃󰀦
剥	󰁭氺刂󰀢
伙	亻火󰁶
麦	主夂󰁧
坦	土日一󰀝
嘴	口止匕丨
鸡	又勹丶一
耳	耳一丨一
荷	艹亻丁口
赛	宀󰀀八贝
肥	月巴󰁀
岸	山厂干󰀬
谷	八人口󰀘
扎	扌乚󰁀
铜	钅冂一口
街	彳土土丁
店	广󰀥口󰀌
冬	夂󰁦󰁧
炉	火丶尸ノ
姑	女古󰀝
恢	忄火󰁶
彪	󰅋七几彡
惯	忄󰅂十贝
朗	丶彐厶月
秀	禾乃󰁣
勇	󰁻月丨力
驻	󰀊󰀞丶王
贺	力口贝󰁧
肯	止月󰀘
舞	󰅎󰀷一丨
蒙	艹冖二󰀓
昌	日日󰀘
粗	米󰀐一󰀝
抵	扌󰁚󰀁丶
贸	󰁚丶刀贝
亿	亻乙󰁀
俄	亻丿扌丶
键	钅󰁬󰀟廴
您	亻⺈小心
