礼	二小乚󰁀
吘	口𠂉十󰀢
㴤	氵木丶王
洤	氵人王󰀝
瘫	疒又亻󰁷
䴤	󰁙󰁴匕
嘫	口󰁝犬灬
蘫	艹氵匚皿
鋘	釒口一大
㳤	氵廾灬󰁶
癫	疒十󰀣贝
晫	日󰀥早󰀢
噫	口立日心
䫙	十艹木貝
銘	釒夕口󰀝
芘	艹󰁴匕󰀅
㬙	日爫丿灬
䶤	止󰀆󰀾月
嶤	山土土儿
涤	氵夂木󰁶
笙	⺮丿主󰀘
荘	艹丬士󰀘
閫	門囗木󰀦
㭙	木土寸󰁶
嗫	口耳又又
䭙	人良󰀄日
痫	疒门木󰀦
浤	氵宀厶
闫	门三󰀌
茘	艹刀刀刀
甫	一月丨丶
覙	⺈小目儿
妙	女小丿ノ
渤	氵十冖力
㸤	辛丿丨辛
䇘	⺮一彑󰀘
鈘	釒十又󰁶
膘	月覀二小
熘	火󰁚丶田
敫	白方夂󰁶
姙	女亻丿士
䧙	阝山人⺗
㕫	口方󰁥
香	禾日󰀘
咫	尸󰂃口八
托	扌丿七󰁀
牘	丿丨一貝
艘	丿󰁪臼又
㺤	犭󰁥人󰀞
交	亠八乂󰁧
战	󰀥口戈󰁶
婙	女⺈󰁬亅
舘	人干口󰃧
爘	火󰀥夕艮
乤	一卜乙󰀅
㓫	大一廾刂
钫	钅方ノ
䢙	貝辶󰀦
弤	弓󰁚󰀁丶
㼤	三丨刀丶
輤	車月󰀝
郘	口口阝󰀢
漤	氵木木女
碙	石冂䒑山
廤	广車口匕
令	人丶󰁻󰁧
㣙	彳由󰀝
飙	大丶大乂
裙	衤󰁧󰁬口
炘	火斤󰀢
滤	氵󰅋七心
㾤	疒宀八工
侤	亻土丿ㄅ
厫	厂󰁡攵
慘	忄厶厶彡
玫	王夂󰁶
辤	爫冖又辛
鎫	釒丿ㄇ夂
㥙	忄口丨心
彤	󰀼亠彡ノ
䏫	月亻木󰁶
罤	罒丷弓丿
揫	禾火手󰀬
鄘	广󰁬月阝
轤	車虍田皿
鍪	󰁻乛亅金
獪	犭󰁥人日
螙	木虫虫󰁧
柙	木甲󰀢
埙	土口贝󰁶
俤	亻丷弓丿
㟙	山󰁺日󰀝
耘	三󰅇二厶
竫	立⺈󰁬亅
髫	󰂞彡刀口
垙	土⺌一儿
捪	扌󰁚󰀁日
㬫	廿口丬日
䍪	⺶一木󰁶
翚	羽冖车󰀬
聘	耳由一ㄅ
遘	󰀀冂土辶
侚	亻勹日󰀝
㡙	冂丨丿匕
抪	扌冂丨
嫫	女艹日大
鈪	釒厂⺋󰁀
蛙	虫土土󰀝
㠙	山󰁸冖󰀓
䪫	立日一工
堙	土覀土󰀝
濚	氵火火木
艪	丿󰁪󰁢日
隙	阝小日小
㩫	扌斤斤貝
爪	⺁丨󰂃󰀦
曙	日罒土日
婫	女曰󰁴匕
会	人二厶󰁧
醪	西一羽彡
膪	月亠丷口
㨫	扌〢𠂉皿
樫	木匚丨土
罚	罒讠刂󰀬
䉪	⺮田田田
剪	䒑月刂刀
自	丿目󰀌
霙	󰀙艹ㄇ大
㧫	扌丆冂〢
坙	一巛土󰀘
亚	一󰅊一󰀌
秫	禾木丶󰁶
镫	钅癶一䒑
㻚	王月月󰀝
䇪	⺮一厶土
妫	女丶丿丶
滚	氵六厶󰀔
绚	纟勹日󰀝
酪	西一夂口
疙	疒𠂉乙󰁫
褫	衤󰁧⺁几
喙	口彑󰀓󰁶
湚	氵丿幺乚
业	󰅊一󰀌
㥫	忄󰁸日󰀝
邪	󰀂亅丿阝
涚	氵丷口儿
士	士一丨一
肪	月方ノ
炪	火凵山󰀢
㤫	月心󰁧
䖙	匚丨󰁃几
阙	门䒑凵人
墫	土丷西寸
昙	日二厶󰁧
烪	火䒑大󰁶
被	衤󰁧󰅌又
䣫	西一十又
㶚	氵覀廿月
铙	钅弋丿儿
衫	衤󰁧彡ノ
瓙	王士乛灬
擙	扌丿ㄇ大
㢫	弓山󰀢
䃪	石亠囗一
聪	耳丷口心
钙	钅一󰀥ㄅ
栫	木丨子
砫	石丶王󰀝
填	土十󰀣八
䴚	󰀥囗󰁘几
㓙	文凵󰀵
留	󰁚丶刀田
教	土丿孑夂
镙	钅田幺小
蕙	艹一日心
䠫	口止耳乑
咙	口ヒ丶
㠫	工几丶夫
攙	扌⺈口丶
甙	弋艹二丶
螫	土󰁖夂虫
鞫	廿󰀜勹言
㟫	山白水󰁶
岚	山几乂󰁧
䲚	󰁢灬木貝
錪	釒ㄇ󰁺八
茪	艹⺌一儿
翤	口冂艹羽
㳚	氵戈人󰁶
䔙	艹釒勹丶
垫	扌九丶土
靪	廿󰀜丁󰀢
睪	罒土䒑十
莙	艹󰁬丿口
坪	土一丷十
杪	木小丿ノ
㱚	一夕月󰀝
䱚	󰁢灬󰁭氺
軫	車人彡󰁥
瑙	王巛丿乂
鑙	釒禾日
䮚	󰀋灬土夂
㑙	亻耳乚󰁀
暪	日廿冂󰂃
呙	口冂人󰁧
盪	氵曰一皿
萙	艹木冖󰁜
鐙	釒癶一䒑
㛪	女大日乚
享	󰁸子󰀘
囪	丿囗󰁤󰂃
曪	日罒糹󰁷
狙	犭ノ󰀐一
昪	曰厶廾󰀬
嬚	女广䒑八
䋙	糹耳󰀝
鹫	󰁸小一
苙	艹立󰀘
㬚	日亠厶攵
渫	氵廿󰄃木
筚	⺮󰁴匕十
䊙	石一廾米
噪	口口口木
芙	艹二人󰁧
鸫	󰀂小勹一
㙪	土士冖䒑
巫	工人人󰀦
䍙	罒𠂉母󰁧
獙	犭󰁥㡀攵
淫	氵爫丿士
骚	󰀊󰀞又虫
薪	艹立木斤
㪚	󰁺日攵󰁶
䗪	广廿灬虫
嗪	口三人禾
涫	氵宀丨󰁃
竚	立宀丁󰀢
茙	艹戈󰁣
闪	门人󰀦
饫	⺈󰁐丿大
藙	艹立󰀓又
痙	疒一巛工
渚	氵土丿日
㶫	大丷火󰁧
镪	钅弓口虫
紫	止匕ㄠ小
贫	八刀贝󰁧
啪	口扌白󰀝
敪	又又又攵
㕪	口冖󰁜󰁀
䩚	廿󰀜󰁚丶
䇹	⺮󰁬丿口
㨺	扌廿冂丶
⺻	󰁬丨一󰀌
㺻	王一冂丨
亻	亻丿丨
固	囗古󰀌
溻	氵日羽󰀝
鳫	厂󰁟灬󰀦
蛺	虫大人人
麻	广木木󰀦
撪	扌厶大車
峫	山󰀄亅阝
覚	󰀧冖目儿
禚	礻󰁶丷灬
䦚	門丿古󰀌
㒪	人匚丨󰀓
㻻	王󰁸孑攵
嚺	口罒䒑辶
任	亻丿士󰀝
鈙	釒󰀥又󰁶
暺	日口口十
黻	󰅊一丷丶
蚺	虫冂土󰀝
则	贝刂󰀢
戙	冂一口戈
爙	火亠口󰀔
舙	丿古丿古
㓪	丶󰁮刀󰁥
䈙	⺮糹寸󰁧
伻	亻一丷十
弻	弓一囗弓
㝺	䒑󰁬〢丿
蝺	虫丿口丶
鼻	丿目田󰀯
漻	氵羽人彡
睺	目亻ユ大
多	夕夕󰁧
䃙	石󰁙󰁴匕
㐪	一凵人󰀦
郙	甫阝󰀢
胙	月𠂉丨二
烙	火夂口󰀝
搪	扌广󰁬口
场	土ㄋ󰁤ノ
䜺	一口䒑日
㽻	疒十又󰀦
霺	󰀙彳山攵
轻	车ス工󰀝
眺	目儿󰀪󰁶
机	木几󰁀
䰫	白󰁜厶儿
呪	口口儿󰁀
㑪	亻文󰀳󰀝
肙	口月󰀘
邙	亠󰄃阝󰀢
楚	木木乛󰁾
炙	󰁝火󰁧
逹	土䒑十辶
基	艹三八土
澻	氵䒑󰀓辶
瀹	氵人一艹
蟺	虫亠囗一
㟺	山󰀻女󰀘
侻	亻丷口儿
㯫	木虍一󰀓
兙	古儿十󰀵
䅙	禾日󰁴匕
煙	火覀土󰀝
梚	木⺈口󰁜
颚	口口二贝
诫	讠戈廾󰀢
鞺	廿󰀜⺌土
恹	忄厂大丶
忻	忄斤󰀢
聹	耳宀心丁
翻	丿米田羽
䁹	目尸口辛
㞺	山𠂉大󰁧
㮫	木宀三口
䮫	󰀋灬󰀻女
壚	土虍田皿
揪	扌禾火󰁶
磚	石一曰寸
裚	扌斤亠󰀔
飚	几乂火火
顺	川丆贝󰁶
硺	石一󰀓丶
霪	󰀙氵爫士
轫	车刀丶󰁶
罫	罒土土卜
氚	󰅎⺄川󰀬
彫	󰀼土口彡
䏙	月冖󰁜󰁀
㽫	亠󰁲丿田
鏹	釒弓口虫
菹	艹氵󰀐一
珹	王戊𠃌󰁀
揹	扌丬匕月
叹	口又󰁶
䏹	月目儿󰁀
㰺	󰁃丨二人
㣺	忄丶󰀦
䄹	禾人丿十
壺	士冖󰀚一
棺	木宀丨󰁃
磺	石󰁺由八
脹	月󰀍󰀖󰁶
鄹	耳又乑阝
㢺	弓立女󰀝
兹	䒑ㄠㄠ󰁧
䢺	凵山阝󰀢
煹	火󰀀冂土
梺	木木一卜
酹	西一爫寸
腹	月𠂉日夂
㥺	忄土厶皿
楺	木󰁻乛木
祺	礻󰁶艹八
䂹	石󰁝火󰁶
奺	女ク󰂃󰁶
肹	月八一ㄅ
邹	⺈彐阝󰀢
㤺	忄亠󰄃󰀸
烹	󰁸了灬󰁧
惹	艹口心
夺	大寸󰁧
䤺	釒石斤󰀢
郹	目犬阝󰀢
褺	土䒑十󰀔
秺	禾宀丿七
船	丿󰁪几口
駺	󰀋灬丶艮
㧺	扌水日󰀝
䈹	⺮宀亻日
刹	乂木刂󰀢
槺	木广󰁬氺
艹	艹一丨丨
特	牜土寸󰁶
馺	󰀋灬乃󰂃
䉹	⺮󰀙口人
㦺	厂二󰀖戈
批	扌󰁴匕󰁀
妺	女一木󰁶
騚	󰀋灬䒑刂
赫	土󰁖土󰁖
燙	氵曰一火
熹	士口䒑灬
嵫	山䒑ㄠㄠ
䔪	艹大乂乂
㵫	氵子孑日
㩺	󰁴󰁴十又
䆹	宀八立土
㬹	月⺈󰁬亅
䍸	⺶甫寸󰁶
卸	󰅎止卩󰀢
捸	扌󰁬氺󰁶
笹	⺮廿󰄃󰀅
荸	艹十冖子
鍸	釒古月󰀝
淹	氵大日乚
巹	了󰀩一己
䖸	丿扌󰁒虫
㷹	火艹󰀥早
閸	門一󰀚一
跹	口止丿辶
疸	疒日一󰀌
䪹	丆卜󰀞貝
媹	女󰁚丶田
㪹	󰀻女󰁦十
苸	艹丿丷󰀛
鋸	釒尸古󰀝
拸	扌夕夕󰁶
狸	犭ノ日土
㭹	木弓亠幺
孹	尸口辛子
䌸	纟二󰁓丶
猸	犭󰁥󰁅目
歹	一夕󰀦
錸	釒木人人
茸	艹耳󰀘
㑸	亻古丁口
䑸	丿󰁪宀小
鑸	釒田田土
呸	口丆卜一
摸	扌艹日大
瑸	王宀丘八
葸	艹田心󰁧
劸	土土力󰁥
䊸	糹二ㄅ󰁀
㫹	日⺁󰁃斤
髹	󰂞彡亻木
芸	艹二厶󰁧
竹	𠂉丨𠂉亅
抸	扌丿之󰁶
㮹	木一厶攵
䏸	月五口󰀝
鏸	釒一曰心
箹	⺮糹勹丶
讹	讠亻ヒ󰁀
容	宀八人口
揸	扌木日一
䱹	󰁢灬⺶工
㐸	亻⺈人󰁶
鐸	釒罒土十
搸	扌三人禾
屹	山𠂉乙󰁀
豹	豸勹丶󰁶
籹	米女󰀝
㴹	氵米辶󰁶
䴹	木人人木
啸	口󰁬󰅏󰀯
洹	氵一日一
畸	田大丁口
蕸	艹󰁃丨辶
镸	󰂞一丨丶
栺	木匕日󰀝
堺	土田八󰀯
䠺	丿󰀽三口
㠺	冂丨小丿
㲹	氵几󰁀
油	氵由󰀝
粹	米亠人十
䓸	艹女女干
岹	山刀口󰀝
蓸	艹一ㄇ日
铸	钅三丿寸
㵹	氵山艹大
唸	口人丶心
䔸	艹犬犬犬
甸	勹田󰀌
浹	氵大人人
锸	钅丿十臼
蔸	艹白󰁚儿
㙸	土亻业夫
䙸	目儿寸󰀦
帹	冂丨立女
晸	曰一止攵
癸	癶一大󰁧
踹	口止山〢
鸹	丿古勹一
㳹	氵木王󰀝
糹	糹ㄥㄥ丶
撸	扌󰁢一日
咸	厂一口丶
䳹	󰁟灬宀又
钸	钅冂丨
蒸	艹了󰀩灬
嶹	山士乛寸
涹	氵禾女󰀝
㶹	火工水󰁶
䗸	亠󰁲丿虫
闸	门甲󰀵
痸	疒𠂉一刂
藸	艹一󰀓日
乹	十早乚󰁀
㘸	一夕匕土
昸	日夂󰁦󰁶
幹	十早人干
蘸	艹西一灬
瘸	疒力口人
阸	阝丶尸乙
渺	氵目小丿
嗹	口車辶󰁶
为	丶丿𠃌丶
㗹	口亻󰁷心
鸺	亻木勹一
踺	口止󰁬廴
痹	疒田一󰀯
櫺	木󰀙口口
猹	犭ノ木一
茹	艹女口󰀘
錹	釒止月󰀝
㫺	人人人日
䌹	纟冂口󰀝
嫺	女門月󰀝
獹	犭󰁥虍田
捹	扌大十廾
鍹	釒宀一一
荹	艹止󰀤󰁣
㪺	大目目十
卹	丿皿卩󰀢
䪺	土厶丆貝
芹	艹斤󰀬
銹	釒禾乃󰁥
抹	扌一木󰁶
筺	⺮匚王丶
䭺	󰀋灬亠几
孺	孑󰀙丆〢
㭺	木大日乚
鋹	釒󰀍󰀖󰁶
苹	艹一丷十
笺	⺮二󰅅丶
欺	艹三八人
勹	勹丿𠃌
䬺	人良羊󰀢
㬺	月丷夫丨
鐹	釒ㄇ󰁈辶
䀃	一󰀓皿󰀘
倃	亻夂卜口
怃	忄二󰁜󰁀
搹	扌一口丨
考	土丿一ㄅ
诺	讠艹口
㐹	亻气󰁀
䯺	󰂞彡󰁚口
鑹	釒宀八󰁒
摹	艹日大手
宺	宀口一󰀸
论	讠人匕󰁀
箺	⺮三人日
䮺	󰀋灬󰀴󰀳
㮺	木一口口
鎹	釒䒑大辶
玹	王亠幺󰁶
莹	艹冖王丶
屺	山己󰁀
決	氵ユ人󰁶
㱺	一夕虍皿
䎹	丿米耳󰀘
僃	亻艹勹用
䃃	石冂䒑󰄃
郃	人一口阝
胃	田月󰀘
烃	火ス工󰀝
惃	忄日󰁴匕
儃	亻亠囗一
愃	忄宀一一
焃	火土󰁖󰁶
脃	月⺈巴󰁀
䳺	人丶乛灬
峺	山一曰乂
改	󰁁夂󰁶
甹	由一ㄅ󰀅
蔹	艹人一夂
锹	钅禾火󰁶
㕹	口又丶
䁃	目󰀔󰁶
啹	口尸古󰀝
恃	忄土寸󰁶
粺	米白丿十
聃	耳冂土󰀝
鲺	󰁢󰀞⺄虫
蕹	艹亠󰁲󰁷
䂃	目爫罒寸
傃	亻幺小
肃	󰁬󰅏󰀯󰀵
邃	宀八䒑辶
䵺	土目󰁕󰁈
咹	口宀女󰀝
蒹	艹䒑󰁬󰁗
鵺	亠亻夂灬
臃	月亠󰁲󰁷
燃	火󰁝大灬
懃	廿口心
凃	冫人一朩
瓹	口月一丶
洺	氵夕口󰀝
哹	口爫子󰀝
䓹	艹人丶艮
鴺	一弓人灬
贺	力口贝󰁧
醃	西一大乚
㘹	止匕土󰀘
䘹	衤󰁧亠十
嘹	口大丷小
淺	氵戈戈󰁶
瘹	疒釒勹丶
蘹	艹忄亠󰀔
阹	阝土厶󰁶
釃	西一一匕
䙹	一廾目儿
㶺	火一大口
涺	氵尸古󰀝
煃	火大土土
䅃	工几丶禾
趺	口止二人
癹	癶几又󰁧
鶺	󰀪人月灬
鄃	人一月阝
喹	口大土土
膃	月囗人皿
㖹	口八刀皿
乺	⺁󰁃斤乙
䆃	䒑丿目禾
閹	門大曰乚
疹	疒人彡󰀏
薹	艹士口土
酃	󰀙口口阝
㜸	艹丿󰃧女
役	彳几又󰁶
佹	亻⺈厂⺋
罹	罒忄亻󰁷
朸	木力󰁥
霸	󰀙廿󰀜月
轹	车丿󰄃小
抃	扌亠卜󰁶
犃	牜立口󰀝
䊃	米几一丨
劃	󰁬土田刂
芃	艹几丶󰁧
銃	釒亠厶儿
亹	亠󰀗ㄇ一
囸	囗一止󰀌
㛸	女士口䒑
蛸	虫⺌月󰀝
雸	󰀙甘󰀘
溹	氵十冖小
相	木目󰀝
剃	丷弓丨刂
䉃	⺮爿󰁝寸
牃	爿廿󰄃木
扃	丶尸冂口
鉃	釒𠂉大󰁶
艃	丿󰁪曰土
馸	󰀋灬斤󰀢
匃	勹人󰄃󰁫
焿	火广󰁬人
愿	厂白小心
儿	儿丿乚
䦸	门ㄇ一丶
㦸	󰀥早戈󰁶
猃	犭ノ人一
范	艹氵⺋󰀅
錃	氵皮金󰀘
㝸	小白儿󰀅
伹	亻󰀐一󰀝
弹	弓丷曰十
漹	氵一止灬
睸	目󰁅目󰀝
輹	車𠂉日夂
靸	廿󰀜乃󰂃
狃	犭ノ󰁈二
拃	扌𠂉丨二
勃	十冖孑力
䋃	糹毛󰁀
鋃	釒丶艮󰁶
苃	艹又󰁧
核	木亠ㄥ人
堸	土几丿虫
蠸	虫艹口󰁷
砸	石匚冂丨
䠸	丿󰀽三ㄅ
㠸	冂丨夫󰁶
厃	⺈厂󰁣
掃	扌彐冖丨
䎃	冂土羽󰀝
鎃	釒氵⺁󰀕
玃	犭󰁥目又
莃	艹乂丨
顸	干丆贝󰁶
矸	石干󰀢
边	力辶󰀏
埸	土日勹󰁤
澹	氵⺈厂言
㟸	山白大十
侹	亻丿士廴
䍃	爫𠂉十凵
捃	扌󰁬丿口
千	丿十󰀵
荃	艹人王󰀘
獃	山一口犬
鍃	釒勹󰁤心
頸	一巛工貝
倿	亻立女󰀝
䀿	目扌斤󰀢
㚸	女𠃌一口
黹	󰅊一丷󰅏
蚸	虫斤丶󰁶
瀿	氵𠂉母小
吃	口𠂉乙󰁀
搃	扌丷口心
球	王一氺丶
萃	艹亠人十
鐃	釒土土儿
塸	土匚口口
桸	木乂丨
硸	石山厂干
衸	衤󰁧人󰀯
㡸	广𠂉丨二
䡸	車艹罒󰁐
揃	扌䒑月刂
參	厶厶厶彡
䏃	耳冖日六
鏃	釒方𠂉大
菃	艹氵匚󰁃
珃	王冂土󰀝
䒃	丿󰁪丿辶
咃	口亻也󰁀
㤸	忄土󰁖󰁶
㒃	亻󰀁二丶
夸	大二ㄅ󰀅
䆿	宀八爿木
熿	火󰁺由八
憿	忄白方攵
醿	西一广小
膿	月ㄇ󰁺󰀖
蒃	艹彑󰀓󰁧
钃	釒尸氺虫
撃	車几又手
璃	王亠乂厶
㑃	亻幺力󰁥
㣸	彳业󰀓
呃	口厂⺋󰁀
䑃	月艹冖󰀓
懿	士冖一心
磸	石丷西大
䇿	⺮木口󰀘
凿	󰅊一䒑凵
裸	衤󰁧日木
飸	口一ㄅ艮
瑃	王三人日
摃	扌工貝󰁶
鑃	釒羽亻󰁷
葃	艹日𠂉二
㔃	糹⺈巴刀
䔃	艹礻󰁶一
錿	釒虍几󰁀
许	讠𠂉十󰀢
猿	犭ノ土󰀔
挿	扌丿一丨
匿	匚艹口
锃	钅口王󰀝
㮸	木䒑大辶
唃	口⺈用󰀢
攃	扌艹󰁯小
甃	禾火一丶
蔃	艹弓口虫
哃	口冂一口
䓃	艹口巴󰀅
㓃	冖言丿七
㥸	󰁂󰀁田心
䥸	弓一八金
兿	䒑扌九厶
楸	木禾火󰁶
祸	礻󰁶口人
腿	月彐󰀖辶
酿	西一丶󰀖
铃	钅人丶󰁻
蓃	艹臼丨又
瓃	王田田田
擃	扌ㄇ󰁺󰀖
㖃	口⺁一口
䖃	艹口口
肿	月口丨󰀢
炿	火丿󰀼亠
邿	土寸阝󰀢
䂿	石水日󰀝
㨸	扌宀心山
悿	忄一大⺗
傿	亻一止灬
閃	門人󰀦
疃	田立日土
薃	艹氵󰁸口
喃	口十冂十
斃	㡀攵一匕
䕃	艹阝人󰂞
㕃	厂一廾󰀵
駸	󰀋灬彐又
烿	火󰀼亠彡
觸	⺈用罒虫
姸	女一干
惿	忄日一󰁾
㧸	扌󰁸了󰀢
䧸	古亻󰁷󰀝
镃	钅䒑幺幺
敃	󰁂󰀁攵󰁶
啃	口止月󰀝
蕃	艹丿米田
畃	曰丨勹丶
䘃	虫󰀹土土
嘃	口广󰁬丨
昃	日厂人󰁧
瘃	疒一󰀓丶
蘃	艹止止木
阃	门囗木󰀦
爿	󰄃丨丆󰀏
梸	木禾刂󰀢
墸	土艹土日
䈿	⺮冖日六
鈿	釒田󰀝
舿	丿󰁪大ㄅ
㘃	口艹心
䗃	虫戈戈󰁶
㗃	口󰁂󰀁日
穸	宀八夕󰁧
聿	󰁬󰀟󰀵
避	尸口立辶
㩸	扌田田亠
䩸	廿󰀜艹耳
婸	女曰一󰁤
恿	󰁻用心󰁧
闃	門目犬󰀦
藃	艹󰁸冂人
痃	疒亠ㄠ󰀦
旃	方𠂉󰀼亠
嗃	口󰁸冂口
暃	曰丨三三
皃	白儿󰀅
䚃	󰀥囗󰁃儿
嚃	口罒󰀫辶
蚃	󰁲丿虫󰁧
隃	阝人一刂
箿	⺮口耳󰀘
殿	尸󰁺八又
鍾	釒丿一土
访	讠方ノ
䐾	月罒土十
吾	五口󰀘
㯿	木巛囗󰁒
㚃	士冖乂䒑
噃	口丿米田
䙃	衤󰁧月
癃	疒阝夂主
晃	日⺌一儿
陃	阝一冂人
虃	艹氵人󰀞
掾	扌彑󰀓󰁶
玾	王甲󰀢
莾	艹大十廾
鎾	釒曰皿󰀝
㮿	木日艹󰀟
宿	宀亻丆日
䍾	一廾羽󰀝
㙃	土丘八󰁶
眃	目二厶󰁶
蜃	厂二󰀖虫
霃	󰀙氵冖󰁜
㜃	女亻言󰀝
链	钅车辶󰁶
圃	囗一月丶
瓾	禾女一丶
㭿	木日󰁚卩
䭿	󰀋灬丿夫
厾	⺄土厶󰀦
盃	丆卜皿󰀘
曃	日󰁬氺辶
囃	口亠人󰁷
䛃	言二儿󰁀
锾	钅爫一又
甾	巛田󰀘
蛃	虫一冂人
洿	氵大二ㄅ
哾	口丷口儿
䓾	艹氵小女
㓾	尸氺丿刂
㛃	三丨刀女
鞃	廿󰀜弓厶
瞃	目⺁十目
螃	虫亠丷方
垃	土立󰀝
枃	木勹冫󰀝
㞃	八人口丶
䞃	貝一厶攵
骿	󰀾月䒑廾
檿	厂曰月木
剾	匚口口刂
艾	艹乂󰁧
窿	宀八阝主
㫿	日亻󰁷󰀝
䌾	纟十冂十
蝃	虫又又又
睃	目厶八夂
靃	󰀙亻󰁷󰁷
䝃	一口䒑灬
㝃	孑⺈口󰁜
权	木又󰁶
坃	土二儿󰁀
銾	釒工水󰁶
婿	女乛󰁾月
橿	木一田一
穿	宀八󰀂丿
芾	艹一冂丨
䉾	丬匕米󰁧
㪿	凵丿凵斤
鏾	釒󰁺月攵
谿	爫幺大口
現	王目儿󰁀
堃	方方土󰀘
恂	忄勹日󰀝
灂	氵爫罒寸
聂	耳又又󰁧
遂	䒑󰀓辶󰀦
㩿	𠂉乙攵󰁶
䩿	廿󰀜十貝
韃	廿󰀜士辶
蟃	虫曰罒又
